@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.11521,0.11455,81,1
0.1071,0.10644,81,1
0.090169,0.089506,81,1
0.12148,0.12082,79,1
0.12014,0.11948,78,1
0.11981,0.11915,77,1
0.12307,0.12241,78,1
0.12293,0.12227,77,1
0.11546,0.1148,76,1
0.13035,0.12969,74,1
0.117,0.11634,73,1
0.12915,0.12849,73,1
0.13255,0.13189,73,1
0.13265,0.13199,72,1
0.13875,0.13809,71,1
0.13959,0.13892,70,1
0.13082,0.13016,69,1
0.1302,0.12954,68,1
0.13219,0.13153,68,1
0.1218,0.12114,68,1
0.12281,0.12215,68,1
0.13321,0.13255,68,1
0.13186,0.13119,68,1
0.12656,0.1259,69,1
0.1225,0.12184,69,1
0.12193,0.12127,69,1
0.1201,0.11944,70,1
0.12091,0.12024,70,1
0.13273,0.13207,71,1
0.13507,0.1344,72,1
0.12065,0.11999,73,1
0.12308,0.12242,74,1
0.12275,0.12208,74,1
0.11881,0.11815,73,1
0.11867,0.11801,73,1
0.093329,0.092666,74,1
0.10573,0.10507,76,1
0.085311,0.084648,78,1
0.060695,0.060032,81,1
0.045291,0.044628,85,1
0.030322,0.029659,85,1
0.016236,0.015573,85,1
0.016478,0.015815,77,1
0.013512,0.012849,81,0
0.0055737,0.0049108,84,0
0.0074506,0.0067877,69,0
0.0034273,0.0027644,77,0
0.0050008,0.0043379,70,0
0.003984,0.0033211,109,0
0.0038295,0.0031666,23,0
0.0055308,0.0048679,23,0
0.0036397,0.0029768,85,0
0.0030736,0.0024107,64,0
0.0039309,0.003268,46,0
0.0044066,0.0037436,20,0
0.0045004,0.0038375,23,0
0.005176,0.0045131,77,0
0.0038454,0.0031825,21,0
0.0037098,0.0030469,23,0
0.0024516,0.0017887,103,0
0.0023404,0.0016775,127,0
0.0045891,0.0039262,25,0
0.0032576,0.0025947,59,0
0.0028162,0.0021533,94,0
0.0035978,0.0029349,6,0
0.0035672,0.0029043,53,0
0.0041785,0.0035156,84,0
0.0035128,0.0028499,106,0
0.0039238,0.0032609,52,0
0.011705,0.011042,47,0
0.026369,0.025706,47,0
0.0053836,0.0047207,38,0
0.0089644,0.0083015,45,0
0.011255,0.010592,39,0
0.0054677,0.0048048,36,0
0.013599,0.012936,48,0
0.0094995,0.0088366,45,0
0.013223,0.01256,46,0
0.015857,0.015194,48,0
0.012428,0.011765,47,0
0.015305,0.014642,47,0
0.021333,0.02067,47,0
0.019479,0.018816,45,0
0.021724,0.021061,46,0
0.01975,0.019087,47,0
0.01714,0.016477,47,0
0.012887,0.012224,47,0
0.01976,0.019097,47,0
0.014305,0.013642,48,0
0.017891,0.017228,39,0
0.019057,0.018394,45,0
0.013461,0.012799,45,0
0.018889,0.018226,45,0
0.014733,0.01407,45,0
0.01797,0.017307,45,1
0.027956,0.027293,158,1
0.062838,0.062175,74,1
0.077998,0.077335,71,1
0.052422,0.051759,69,1
0.044712,0.044049,162,1
0.035496,0.034833,59,1
0.041761,0.041098,145,1
0.11576,0.11509,66,1
0.17588,0.17521,66,1
0.12185,0.12118,70,1
0.066725,0.066062,81,1
0.052503,0.05184,95,1
0.033187,0.032524,119,1
0.027258,0.026596,186,1
0.012225,0.011562,58,1
0.01084,0.010177,41,1
0.011071,0.010408,39,0
0.0053548,0.0046919,78,0
0.0049538,0.0042909,40,0
0.0042431,0.0035802,98,0
0.0028989,0.002236,59,0
0.0026707,0.0020077,162,0
0.0019288,0.0012659,67,0
0.0019456,0.0012827,90,0
0.0096222,0.0089593,40,0
0.011855,0.011192,40,0
0.018724,0.018061,40,0
0.019289,0.018626,40,0
0.020303,0.01964,40,0
0.017785,0.017122,40,0
0.015857,0.015194,40,0
0.015217,0.014554,40,0
0.017064,0.016401,40,0
0.017451,0.016788,40,0
0.020011,0.019348,40,0
0.019588,0.018925,41,0
0.020808,0.020145,41,0
0.018909,0.018246,40,0
0.016865,0.016202,42,0
0.018749,0.018086,40,0
0.019366,0.018703,40,0
0.021907,0.021244,42,0
0.017668,0.017005,42,0
0.019039,0.018376,40,0
0.016295,0.015632,41,0
0.010087,0.0094245,41,0
0.019427,0.018764,44,0
0.0042451,0.0035822,161,0
0.013136,0.012473,42,0
0.011994,0.011331,43,0
0.0051872,0.0045243,86,0
0.0030492,0.0023863,85,0
0.0026303,0.0019674,94,0
0.0022039,0.001541,102,0
0.0024887,0.0018258,19,0
0.012751,0.012088,44,0
0.010025,0.0093624,44,0
0.0038756,0.0032126,43,0
0.0018842,0.0012213,85,0
0.0014871,0.00082415,153,0
0.0015128,0.00084984,157,0
0.0014966,0.00083371,128,0
0.0016453,0.0009824,20,0
0.0026282,0.0019653,4,0
0.0025571,0.0018942,4,0
0.0019657,0.0013028,87,0
0.011856,0.011193,42,0
0.0039284,0.0032655,114,0
0.013119,0.012456,40,0
0.0059173,0.0052544,41,0
0.014588,0.013926,43,0
0.0057432,0.0050803,105,0
0.0069702,0.0063073,45,0
0.0067442,0.0060813,41,0
0.016595,0.015932,39,0
0.0038594,0.0031965,59,0
0.0040531,0.0033902,39,0
0.0050632,0.0044003,123,0
0.0054925,0.0048296,49,0
0.0046643,0.0036184,120,0
0.0056362,0.0045902,66,0
0.0079095,0.0066468,19,0
0.0049279,0.0036652,62,0
0.0044326,0.0031699,38,0
0.0030707,0.001808,88,0
0.0038837,0.002621,20,0
0.0027744,0.0015076,18,0
0.0038612,0.002571,163,0
0.003094,0.0018038,64,0
0.0028299,0.0015397,117,0
0.0029536,0.0016634,158,0
0.0029488,0.0016586,66,0
0.0032015,0.0017144,142,0
0.003113,0.001626,124,0
0.0030935,0.0016064,169,0
0.0030439,0.0015569,167,0
0.0032654,0.0017784,68,0
0.0033221,0.001835,150,0
0.0032877,0.0018006,79,0
0.0039953,0.0025083,50,0
0.0028612,0.0013742,52,0
0.0037645,0.0022774,61,0
0.0047907,0.0033036,64,0
0.0050768,0.0035898,144,0
0.0050721,0.003585,62,0
0.0034988,0.0020117,114,0
0.0029083,0.0014213,66,0
0.0031373,0.0016502,78,0
0.013564,0.012077,104,0
0.0053582,0.0038712,40,0
0.004854,0.0033669,58,0
0.0056331,0.004146,43,0
0.0061979,0.0047108,43,0
0.0062731,0.004786,18,0
0.0063557,0.0048687,21,0
0.012112,0.010625,20,0
0.010746,0.0092594,24,0
0.010378,0.0088905,22,0
0.0060301,0.0045431,25,0
0.0059494,0.0044624,25,0
0.0059908,0.0045038,81,0
0.0034903,0.0020032,25,0
0.0046406,0.0031535,84,0
0.0036646,0.0021776,28,0
0.0097806,0.0082935,78,0
0.0032566,0.0017696,56,0
0.0052506,0.0037636,82,0
0.0031271,0.0016401,149,0
0.002614,0.0011269,142,0
0.0028808,0.0013938,97,0
0.0028401,0.001353,146,0
0.0023804,0.00089333,70,0
0.0027256,0.0012386,85,0
0.0019999,0.00051288,66,0
0.0016147,0.00012764,40,0
0.0020927,0.00060567,142,0
0.002795,0.0013079,38,0
0.010296,0.0088094,40,1
0.014481,0.012994,41,1
0.025563,0.024076,43,1
0.031071,0.029584,39,1
0.029025,0.027538,43,1
0.027445,0.025958,122,1
0.018257,0.01677,102,1
0.03277,0.031283,85,1
0.052884,0.051397,83,1
0.055141,0.053654,80,1
0.05266,0.051173,74,1
0.052358,0.050871,68,1
0.041941,0.040454,64,1
0.033855,0.032368,68,1
0.020988,0.019501,74,1
0.02162,0.020133,20,1
0.015952,0.014465,54,1
0.020558,0.01907,21,1
0.018341,0.016854,17,1
0.022001,0.020514,19,1
0.012292,0.010805,126,1
0.012307,0.01082,20,1
0.0096683,0.0081813,87,1
0.0078785,0.0063914,39,0
0.0030974,0.0016103,20,0
0.0022226,0.00073553,44,0
0.0020998,0.0006127,44,0
0.0048137,0.0033266,52,0
0.0021843,0.0006972,91,0
0.0024934,0.0010063,143,0
0.00271,0.001223,58,0
0.0021164,0.00062937,41,0
0.0017306,0.00024359,43,0
0.0031025,0.0016154,93,0
0.0026076,0.0011205,161,0
0.0026364,0.0011494,89,0
0.0019487,0.0004616,110,0
0.0021316,0.00064456,138,0
0.00179,0.00030296,103,0
0.0026839,0.0011969,125,0
0.0014242,0,104,0
0.032112,0,40,0
0.025511,0,101,0
0.024793,0,158,0
0.020657,0,47,0
0.022563,0.0019057,30,1
0.028093,0.0074354,39,1
0.026104,0.0054465,92,1
0.046163,0.025505,88,1
0.07571,0.055052,87,1
0.079864,0.059206,86,1
0.067755,0.047098,83,1
0.073765,0.053107,81,1
0.083505,0.062848,80,1
0.10162,0.080966,80,1
0.10213,0.081474,82,1
0.089789,0.069131,80,1
0.090709,0.070052,78,1
0.1139,0.093247,80,1
0.10357,0.082914,78,1
0.14023,0.11958,76,1
0.11869,0.098035,75,1
0.13963,0.11898,75,1
0.13949,0.11883,76,1
0.12397,0.10331,77,1
0.11673,0.096073,77,1
0.11074,0.090082,78,1
0.12811,0.10745,77,1
0.11788,0.097218,75,1
0.13851,0.11785,74,1
0.12591,0.10525,73,1
0.11784,0.09718,72,1
0.10619,0.085533,72,1
0.11669,0.096029,163,1
0.13228,0.11162,71,1
0.1108,0.090143,71,1
0.12103,0.10037,70,1
0.1086,0.087947,70,1
0.11131,0.090654,70,1
0.10277,0.082116,69,1
0.10041,0.079748,157,1
0.12086,0.10021,68,1
