@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.069618,0.068703,0.030853,0.012704,1
0.070939,0.070024,0.030853,0.012704,1
0.081103,0.080188,0.037205,0.019056,1
0.081765,0.08085,0.036298,0.018149,1
0.079432,0.078517,0.036298,0.018149,1
0.078277,0.077362,0.041742,0.023593,1
0.073585,0.072669,0.03902,0.020871,1
0.072625,0.071709,0.034483,0.016334,1
0.073135,0.07222,0.03176,0.013612,1
0.074556,0.07364,0.029946,0.011797,1
0.075782,0.074866,0.027223,0.0090744,1
0.07533,0.074415,0.028131,0.0099819,1
0.077536,0.076621,0.026316,0.008167,1
0.082586,0.08167,0.022686,0.0045372,1
0.082879,0.081964,0.023593,0.0054446,1
0.079926,0.07901,0.021779,0.0036298,1
0.077971,0.077056,0.021779,0.0036298,1
0.077523,0.076607,0.023593,0.0054446,1
0.086361,0.085446,0.025408,0.0072595,1
0.10517,0.10426,0.036298,0.018149,1
0.24322,0.24231,0.034483,0.016334,1
0.40106,0.40014,0.023593,0.0054446,1
0.46718,0.46627,0.022686,0.0045372,1
0.4504,0.44948,0.022686,0.0045372,1
0.47734,0.47642,0.028131,0.0099819,1
0.55897,0.55806,0.03176,0.013612,1
0.65219,0.65128,0.029038,0.010889,1
0.6925,0.69158,0.026316,0.008167,1
0.66463,0.66372,0.024501,0.0063521,1
0.62171,0.62079,0.024501,0.0063521,1
0.5711,0.57019,0.024501,0.0063521,1
0.49375,0.49284,0.023593,0.0054446,1
0.41327,0.41235,0.023593,0.0054446,1
0.38035,0.37944,0.022686,0.0045372,1
0.33357,0.33265,0.021779,0.0036298,1
0.26812,0.2672,0.021779,0,1
0.23327,0.23235,0.020871,0,1
0.22246,0.22155,0.024501,0.0036298,1
0.2028,0.20188,0.033575,0.012704,1
0.19564,0.19473,0.038113,0.017241,1
0.21416,0.21324,0.030853,0.0099819,1
0.22605,0.22513,0.021779,0.00090744,1
0.22925,0.22833,0.019964,0,1
0.2262,0.22529,0.019964,0,1
0.21801,0.2171,0.030853,0.010889,1
