@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE class	{0,1}

@DATA
0.064738,0.03539,1
0.09218,0.03176,1
0.095248,0.033575,1
0.10198,0.03539,1
0.15016,0.033575,1
0.16617,0.03176,1
0.14036,0.03539,1
0.13553,0.038113,1
0.15127,0.036298,1
0.16726,0.028131,1
0.16872,0.029946,1
0.16416,0.038113,1
0.148,0.040835,1
0.13275,0.040835,1
0.1232,0.03902,1
0.11112,0.038113,1
0.10889,0.03902,1
0.11108,0.038113,1
0.10489,0.040835,1
0.10484,0.037205,1
0.11467,0.030853,1
0.12859,0.028131,1
0.14077,0.027223,1
0.13653,0.026316,1
0.11092,0.024501,1
0.082172,0.029038,1
0.07491,0.032668,1
0.073302,0.029946,1
0.072834,0.029946,1
0.069618,0.030853,1
0.070939,0.030853,1
0.081103,0.037205,1
0.081765,0.036298,1
0.079432,0.036298,1
0.078277,0.041742,1
0.073585,0.03902,1
0.072625,0.034483,1
0.073135,0.03176,1
0.074556,0.029946,1
0.075782,0.027223,1
0.07533,0.028131,1
0.077536,0.026316,1
0.082586,0.022686,1
0.082879,0.023593,1
0.079926,0.021779,1
0.077971,0.021779,1
0.077523,0.023593,1
0.086361,0.025408,1
0.10517,0.036298,1
0.24322,0.034483,1
0.40106,0.023593,1
0.46718,0.022686,1
0.4504,0.022686,1
0.47734,0.028131,1
0.55897,0.03176,1
0.65219,0.029038,1
0.6925,0.026316,1
0.66463,0.024501,1
0.62171,0.024501,1
0.5711,0.024501,1
0.49375,0.023593,1
0.41327,0.023593,1
0.38035,0.022686,1
0.33357,0.021779,1
0.26812,0.021779,1
0.23327,0.020871,1
0.22246,0.024501,1
0.2028,0.033575,1
0.19564,0.038113,1
0.21416,0.030853,1
0.22605,0.021779,1
0.22925,0.019964,1
0.2262,0.019964,1
0.21801,0.030853,1
0.2046,0.039927,1
0.18691,0.03902,1
0.17576,0.044465,1
0.17159,0.050817,1
0.1768,0.047187,1
0.18332,0.040835,1
0.18806,0.056261,1
0.1986,0.061706,1
0.21651,0.047187,1
0.22845,0.048094,1
0.22602,0.066243,1
0.22327,0.060799,1
0.22146,0.041742,1
0.22331,0.041742,1
0.23824,0.043557,1
0.25741,0.04265,1
0.26502,0.037205,1
0.26419,0.038113,1
0.26933,0.040835,1
0.2857,0.037205,1
0.31951,0.036298,1
0.35288,0.03176,1
0.37365,0.024501,1
0.38506,0.022686,1
0.39694,0.022686,1
0.40763,0.022686,1
0.40942,0.022686,1
0.41438,0.022686,1
0.42649,0.022686,1
0.43138,0.021779,1
0.42439,0.022686,1
0.41945,0.022686,1
0.40581,0.021779,1
0.3758,0.021779,1
0.38348,0.020871,1
0.45256,0.020871,1
0.51516,0.021779,1
0.54863,0.021779,1
0.55986,0.021779,1
0.54781,0.020871,1
0.51489,0.019964,1
0.43435,0.019964,1
