@relation featureMatrix-weka.filters.unsupervised.attribute.Remove-R8

@attribute energy numeric
@attribute energy_min numeric
@attribute zeroCrossingRate numeric
@attribute zeroCrossingRate_min numeric
@attribute cepstralMostDominantPeak numeric
@attribute cepstralMostDominantPeak_min numeric
@attribute cepstralLocPeak numeric
@attribute class {0,1}

@data
0.001938,0.001022,0.07441,-0.14882,0.002011,0.001349,42,0
0.001478,0.000563,0.097096,-0.12613,0.001263,0.0006,46,0
0.001464,0.000548,0.11343,-0.1098,0.001267,0.000604,87,0
0.001533,0.000617,0.11071,-0.11252,0.001597,0.000934,41,0
0.00146,0.000544,0.13702,-0.086207,0.002084,0.001421,116,0
0.001558,0.000642,0.11706,-0.10617,0.001358,0.000695,47,0
0.001524,0.000608,0.096189,-0.12704,0.001552,0.000889,48,0
0.001447,0.000531,0.12341,-0.099819,0.00129,0.000627,92,0
0.002432,0.001517,0.13067,-0.092559,0.001305,0.000642,104,0
0.003544,0.002628,0.13612,-0.087114,0.004705,0.004042,105,0
0.003624,0.002709,0.13249,-0.090744,0.003722,0.003059,42,0
0.003126,0.00221,0.11797,-0.10526,0.003968,0.003306,51,0
0.002429,0.001514,0.12432,-0.098911,0.003573,0.00291,69,0
0.001832,0.000917,0.12341,-0.099819,0.002724,0.002061,46,0
0.001672,0.000756,0.12795,-0.095281,0.002648,0.001985,72,0
0.002244,0.001329,0.15426,-0.068966,0.001716,0.001054,98,0
0.002842,0.001927,0.18421,-0.03902,0.003616,0.002953,115,0
0.002795,0.00188,0.20508,-0.018149,0.004615,0.003952,26,0
0.002461,0.001545,0.17786,-0.045372,0.00398,0.003317,51,0
0.003157,0.002242,0.1225,-0.10073,0.002926,0.002263,15,0
0.00413,0.003215,0.080762,-0.14247,0.003907,0.003245,30,0
0.004041,0.003126,0.07804,-0.14519,0.00525,0.004587,141,0
0.003499,0.002584,0.11797,-0.10526,0.004473,0.00381,64,0
0.003234,0.002319,0.13702,-0.086207,0.002837,0.002174,45,0
0.002804,0.001888,0.15971,-0.063521,0.003546,0.002884,131,0
0.002226,0.001311,0.1824,-0.040835,0.00235,0.001687,45,0
0.002212,0.001297,0.16606,-0.057169,0.002449,0.001786,61,0
0.003433,0.002517,0.12613,-0.097096,0.003911,0.003249,136,0
0.005239,0.004324,0.10254,-0.12069,0.006805,0.006142,128,0
0.007325,0.006409,0.11162,-0.11162,0.007735,0.007072,61,0
0.009231,0.008315,0.11797,-0.10526,0.009698,0.009035,72,0
0.010222,0.009307,0.13975,-0.083485,0.011915,0.011252,65,0
0.010496,0.00958,0.14247,-0.080762,0.009702,0.009039,120,0
0.010241,0.009325,0.13339,-0.089837,0.010729,0.010066,38,0
0.010463,0.009547,0.13249,-0.090744,0.012497,0.011834,55,0
0.010791,0.009876,0.12613,-0.097096,0.01236,0.011697,82,0
0.010103,0.009187,0.11343,-0.1098,0.010309,0.009646,54,0
0.008869,0.007954,0.11162,-0.11162,0.011816,0.011153,54,0
0.007839,0.006924,0.11615,-0.10708,0.009369,0.008706,57,0
0.0073,0.006384,0.10345,-0.11978,0.008021,0.007358,100,0
0.005828,0.004913,0.079855,-0.14338,0.005584,0.004921,110,0
0.004099,0.003184,0.075318,-0.14791,0.004232,0.003569,40,0
0.003754,0.002838,0.085299,-0.13793,0.003778,0.003115,52,0
0.003505,0.00259,0.08167,-0.14156,0.004453,0.00379,51,0
0.003584,0.002669,0.073503,-0.14973,0.003054,0.002391,53,0
0.004132,0.003216,0.075318,-0.14791,0.002987,0.002324,51,0
0.0045,0.003585,0.096189,-0.12704,0.004477,0.003814,52,0
0.008073,0.007157,0.11434,-0.10889,0.010494,0.009831,18,0
0.011734,0.010819,0.13521,-0.088022,0.013976,0.013313,72,0
0.014064,0.013148,0.15336,-0.069873,0.012426,0.011763,19,0
0.016305,0.01539,0.14519,-0.07804,0.012081,0.011418,120,0
0.015899,0.014984,0.20054,-0.022686,0.015167,0.014504,121,0
0.017257,0.016342,0.24319,0,0.018132,0.017469,6,0
0.018131,0.017215,0.17786,-0.065336,0.017599,0.016936,95,0
0.014116,0.0132,0.1216,-0.1216,0.011569,0.010906,20,0
0.010646,0.009731,0.098004,-0.14519,0.00818,0.007517,60,0
0.008927,0.008012,0.065336,-0.17786,0.00527,0.004607,40,0
0.008032,0.007116,0.056261,-0.18693,0.004312,0.003649,43,0
0.010183,0.009268,0.040835,-0.20236,0.002095,0.001432,160,0
0.010544,0.009629,0.024501,-0.21869,0.0023,0.001637,43,0
0.007372,0.006457,0.034483,-0.20871,0.003378,0.002715,79,0
0.004827,0.003911,0.041742,-0.20145,0.002555,0.001892,127,0
0.064738,0.063823,0.03539,-0.2078,0.017645,0.016982,82,1
0.09218,0.091265,0.03176,-0.21143,0.032325,0.031662,111,1
0.095248,0.094333,0.033575,-0.20962,0.060562,0.0599,123,1
