@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE unnormalizedSpectralEntropy_delta 	REAL
@ATTRIBUTE normalizedSpectralEntropy_delta REAL
@ATTRIBUTE mostDominantFrequency_delta 	REAL
@ATTRIBUTE corMagPeak_delta REAL
@ATTRIBUTE corPeakCount_delta REAL
@ATTRIBUTE class	{0,1}

@DATA
1603,-5.1171,452.2,1.0098,82,24.821,0.014861,0,0.072472,-6.5,1
1434.6,-5.1611,452.2,1.1097,55,45.879,-0.013309,0,0.11614,-17,1
1694.8,-5.1437,452.2,1.242,48,52.28,0.0079265,0,-0.02249,-15,1
1539.1,-5.1452,452.2,1.0647,25,-7.9878,0.02936,0,-0.029033,-19.5,1
1678.8,-5.085,452.2,1.184,9,183.73,0.050219,0,0.085648,-5,1
1906.6,-5.0448,452.2,1.236,15,171.34,0.014278,0,-0.069412,3.5,1
2021.5,-5.0565,452.2,1.0452,16,142.02,-0.0071739,0,-0.16496,5.5,1
2190.6,-5.0591,452.2,0.90612,26,-84.719,-0.051183,0,-0.048577,5.5,1
1852.1,-5.1588,452.2,0.94801,27,-195.16,0.032339,10.767,0.15434,-6.5,1
1800.3,-4.9945,473.73,1.2148,13,-79.552,0.051452,10.767,0.14545,-8,1
1693,-5.0559,473.73,1.2389,11,-7.4557,-0.025127,0,0.022869,-2,1
1785.4,-5.0447,473.73,1.2605,9,103.79,0.012113,0,0.05366,4.5,1
1900.5,-5.0317,473.73,1.3462,20,98.807,0.0095233,0,-0.0028506,8,1
1983,-5.0257,473.73,1.2548,25,39.38,0.0025377,0,-0.049517,7,1
1979.3,-5.0266,473.73,1.2472,34,-89.353,-0.083148,-10.767,-0.075079,-1,1
1804.3,-5.192,452.2,1.1047,23,-147.92,-0.077442,-10.767,-0.12916,-5,1
1683.5,-5.1815,452.2,0.98888,24,-37.871,-0.0010819,0,-0.10079,0.5,1
1728.5,-5.1941,452.2,0.9031,24,-39.546,0.030476,0,0.0026632,-0.5,1
1604.4,-5.1206,452.2,0.9942,23,-31.284,0.018209,0,0.054264,-1,1
1666,-5.1577,452.2,1.0116,22,36.679,-0.019318,0,-0.0080283,0.5,1
1677.7,-5.1592,452.2,0.97815,24,73.65,-0.0083997,-10.767,-0.081266,0,1
1813.3,-5.1745,430.66,0.84909,22,108.61,0.016911,0,-0.056326,-3,1
1894.9,-5.1254,452.2,0.86549,18,-84.265,0.0092103,10.767,0.032615,-0.5,1
1644.7,-5.1561,452.2,0.91432,21,-10.957,0.047049,-10.767,0.074376,1.5,1
1873,-5.0313,430.66,1.0142,21,36.605,0.11384,0,0.09959,-2,1
1718,-4.9284,452.2,1.1135,17,-178.4,-0.048306,10.767,-0.013969,0.5,1
1516.2,-5.1279,452.2,0.98631,22,94.945,-0.029053,0,-0.055151,11,1
