@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE energy_delta	REAL
@ATTRIBUTE zeroCrossingRate_delta REAL
@ATTRIBUTE class	{0,1}

@DATA
0.041312,0.054446,-0.0021539,0.008167,0
0.034828,0.073503,-0.0053093,0.011343,0
0.030693,0.077132,-0.0007353,-0.0058984,0
0.033357,0.061706,0.00033986,-0.0049909,0
0.031373,0.067151,0.00084824,0.00045372,0
0.035054,0.062613,0.0046702,-0.0095281,0
0.040713,0.048094,0.0046533,-0.010436,0
0.044361,0.041742,0.009781,-0.003176,0
0.060275,0.041742,0.0096548,0.00045372,0
0.06367,0.04265,-0.0035482,-0.00045372,0
0.053179,0.040835,-0.0039263,-0.00045372,0
0.055817,0.041742,0.0012701,0.00045372,0
0.055719,0.041742,-0.0041924,0.0013612,0
0.047433,0.044465,-0.00066527,0.0018149,0
0.054388,0.045372,0.0021332,0.0022686,0
0.051699,0.049002,-0.0083619,0.008167,0
0.037665,0.061706,-0.0084749,0.0063521,0
0.034749,0.061706,-0.0015928,0.0027223,0
0.034479,0.067151,-0.00043858,0.0022686,0
0.033872,0.066243,-0.0029784,-0.0036298,0
0.028522,0.059891,0.0023063,-0.0077132,0
0.038485,0.050817,0.011742,-0.012704,0
0.052006,0.034483,0.011116,-0.0063521,0
0.060716,0.038113,0.0011139,0.0099819,0
0.054234,0.054446,-0.0079015,0.0072595,0
0.044913,0.052632,-0.0047521,-0.0045372,0
0.04473,0.045372,-0.0027316,-0.0036298,0
0.03945,0.045372,-0.0011876,0.0013612,0
0.042355,0.048094,0.0039632,0.0040835,0
0.047376,0.053539,0.0014293,-0.00090744,0
0.045213,0.046279,-0.0021547,0.00090744,0
0.043067,0.055354,-0.001689,0.011343,0
0.041835,0.068966,-0.0004134,0.0090744,0
0.04224,0.073503,0.0013366,-0.0022686,0
0.044509,0.064428,0.0013251,-0.0072595,0
0.04489,0.058984,0.00025375,0.00045372,0
0.045016,0.065336,-0.0034979,0.012704,0
0.037895,0.084392,-0.0040096,0.0063521,0
0.036997,0.07804,-8.2207e-05,-0.008167,0
0.03773,0.068058,-0.00044859,-0.0018149,0
0.0361,0.07441,0.0041649,0,0
0.04606,0.068058,0.0078964,-0.0027223,0
0.051892,0.068966,0.00040715,0,0
0.046874,0.068058,-0.00037472,-0.0068058,0
0.051143,0.055354,0.0079631,-0.0099819,0
0.062801,0.048094,0.012323,-0.0036298,0
0.075789,0.048094,0.010753,-0.008167,0
0.084307,0.03176,0.0011502,-0.0090744,0
0.07809,0.029946,-0.0073553,0.0086207,0
0.069597,0.049002,0.00047223,0.013158,0
0.079034,0.056261,0.0059938,0.0022686,0
0.081584,0.053539,-0.0041674,0.0058984,0
0.070699,0.068058,-0.010715,0.011343,0
0.060154,0.076225,-0.011739,0.0018149,0
0.047221,0.071688,-0.0098192,-0.0086207,0
0.040515,0.058984,-0.0045751,-0.012704,0
0.038071,0.046279,0.0026244,-0.0095281,0
0.045764,0.039927,0.00854,-0.0040835,0
0.055151,0.038113,0.026054,0.0077132,0
0.097872,0.055354,0.025594,0.018149,0
0.10634,0.07441,-0.0012067,0.0022686,0
