@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
3119,-4.1054,516.8,1.5219,10,1
3126,-4.0571,516.8,1.5563,10,1
3243.4,-3.9913,516.8,1.5766,10,1
3267.7,-4.0642,516.8,1.5766,10,1
3294.3,-4.0227,516.8,1.5707,9,1
3374,-3.9561,516.8,1.5624,9,1
3487.2,-3.8658,516.8,1.5615,9,1
3437.5,-3.825,516.8,1.5809,9,1
3314.6,-3.7984,516.8,1.5893,9,1
3267.5,-3.6844,516.8,1.5935,9,1
3190.1,-3.7764,495.26,1.5922,9,1
2901.9,-3.9052,495.26,1.5414,9,1
2831.6,-3.8207,495.26,1.5404,9,1
3440.9,-3.7092,495.26,1.6042,9,1
4072.4,-3.4359,495.26,1.619,9,1
4348.1,-3.4347,495.26,1.6068,9,1
4587.5,-3.4931,495.26,1.6203,9,1
4213.7,-3.4551,495.26,1.597,9,1
3981.5,-3.3279,473.73,1.605,9,1
3162.5,-3.4305,473.73,1.5224,8,1
2071.4,-3.2825,452.2,1.5333,8,1
1237.2,-3.4668,430.66,1.3047,8,1
436.2,-3.9192,430.66,1.318,7,1
-33.269,-4.8807,409.13,1.076,7,1
-44.202,-4.8196,495.26,1.0781,9,1
-60.329,-5.1596,452.2,1.1591,11,0
-68.992,-5.8963,430.66,0.92707,8,0
-70.736,-5.754,473.73,1.262,11,0
-77.262,-6.1644,495.26,0.63396,27,0
-73.627,-5.9444,430.66,0.81343,31,0
-76.321,-6.029,452.2,0.67354,44,0
-78.026,-6.2293,2110.3,0.42548,38,0
-76.295,-6.0547,2045.7,0.58566,40,0
-78.301,-5.9962,2196.4,0.39372,40,0
-80.677,-5.9805,581.4,0.29563,42,0
-81.648,-6.0872,2088.7,0.38951,42,0
-79.602,-6.0825,2131.8,0.42767,48,0
-84.272,-6.2292,2174.9,0.38398,40,0
-84.849,-6.2138,2217.9,0.41731,46,0
-77.58,-6.2324,2239.5,0.38673,41,0
-73.98,-6.3431,2110.3,0.32106,46,0
-73.729,-6.4162,710.6,0.23265,87,0
-87.63,-6.328,107.67,0.21897,94,0
-93.159,-6.3786,21.533,0.16313,89,0
-94.686,-6.3709,150.73,0.19026,93,0
-91.89,-6.4124,1141.3,0.19909,86,0
-91.744,-6.2973,21.533,0.22245,90,0
-94.809,-6.3569,64.6,0.19118,99,0
-106.34,-6.3143,21.533,0.2113,94,0
-102.78,-6.3575,344.53,0.22166,77,0
-97.671,-6.227,21.533,0.20363,48,0
-87.997,-5.481,775.2,0.42791,27,0
-81.42,-5.4283,796.73,0.80551,14,0
-89.238,-6.0067,775.2,0.44864,15,0
-91.225,-5.5199,753.66,0.34559,23,0
-77.266,-5.3743,753.66,0.57303,20,0
-110.47,-6.3623,796.73,0.50182,24,0
-94.735,-5.6242,775.2,0.49374,38,0
-124.3,-5.8476,775.2,0.7615,14,0
-93.946,-5.5545,775.2,0.76238,15,0
-73.27,-5.4505,775.2,0.742,23,0
-52.074,-5.3641,732.13,0.6954,24,0
2.2917,-5.1735,796.73,0.66123,22,0
75.151,-5.0801,796.73,0.59341,21,0
66.169,-5.0656,775.2,0.73478,14,0
94.545,-4.9873,796.73,0.74965,18,0
60.296,-5.0861,689.06,0.92778,14,0
51.289,-5.1166,689.06,0.95118,19,0
39.09,-5.1784,818.26,0.87277,19,0
50.211,-5.1932,775.2,0.63807,25,0
-13.345,-5.3298,2045.7,0.53476,37,0
-33.81,-5.4301,818.26,0.48622,33,0
-58.088,-5.4595,775.2,0.7015,24,0
-62.062,-5.497,775.2,0.92498,37,0
-49.258,-5.4605,2067.2,0.50471,42,0
-46.54,-5.4787,2153.3,0.50886,39,0
25.227,-5.3539,818.26,0.52391,38,1
512.6,-5.2467,2217.9,0.57397,38,1
2300.8,-5.1488,495.26,0.78221,20,1
3442,-4.7039,516.8,1.4114,10,1
3437.9,-4.7345,559.86,0.86468,10,1
2758.4,-4.8263,516.8,0.64686,10,1
4264,-4.5846,646,0.53303,11,1
4775.6,-4.6648,559.86,0.98488,10,1
3167.4,-4.6965,538.33,1.3337,11,1
3320.9,-4.9543,516.8,1.4151,10,1
2746.8,-5.1355,516.8,1.0968,24,1
1785.5,-5.2007,473.73,0.74928,49,1
1460.2,-5.0611,775.2,0.61255,38,1
592.47,-5.2033,732.13,0.87414,26,1
135.94,-5.407,2153.3,0.50782,41,1
-82.115,-5.5294,516.8,0.46953,37,1
-88.329,-5.4984,538.33,0.76712,31,1
-79.735,-5.546,2261,0.62328,41,0
-73.738,-5.6604,516.8,0.61578,41,0
-70.622,-5.8369,775.2,0.45544,40,0
-72.344,-6.1481,839.79,0.38821,40,0
