@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.14123,0.13372,0.038113,-0.12704,564.33,501.32,4.609,-0.9027,473.73,43.066,0.044509,0.036643,43,-111,1.477,1.0243,2,-18,1
0.063988,0.056478,0.084392,-0.080762,148.7,85.688,5.2066,-0.30509,430.66,0,0.028521,0.020655,56,-98,1.2672,0.81455,2,-18,1
0.026371,0.018861,0.11525,-0.049909,70.206,7.1929,5.5821,0,538.33,107.67,0.02195,0.014084,54,-100,0.65995,0.2073,7,-13,1
0.016541,0.0090308,0.096189,-0.068966,72.307,9.2935,5.4706,-0.11147,516.8,86.133,0.01631,0.008444,38,-116,0.58704,0.13439,7,-13,1
0.014061,0.0065509,0.062613,-0.10254,76.372,13.358,5.3391,-0.24296,538.33,107.67,0.011768,0.0039018,115,-39,0.87602,0.42336,3,-17,1
0.01402,0.0065101,0.045372,-0.11978,45.768,0,4.8904,-0.6917,516.8,86.133,0.013908,0.006042,29,-125,1.3681,0.91545,2,-18,0
0.011926,0.0044161,0.059891,-0.10526,56.429,10.662,5.0393,-0.54278,538.33,107.67,0.013608,0.0057425,31,-123,1.3732,0.92053,2,-18,0
0.0076668,0.00015682,0.069873,-0.095281,56.438,10.671,5.0413,-0.54078,495.26,64.6,0.0088672,0.0010012,41,-113,0.44804,0,2,-18,0
0.0063915,0,0.07804,-0.087114,60.837,15.07,5.2364,-0.34574,258.4,0,0.0032856,0,29,-125,0.27167,0,6,-14,0
0.0078191,0.0014276,0.072595,-0.092559,61.764,15.997,5.2043,-0.37783,129.2,0,0.0066812,0.0033957,117,-37,0.082786,0,7,-13,0
