@relation featureMatrix

@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
1.4513,11,1
1.5776,11,1
1.3656,11,1
1.1797,10,1
1.1133,10,1
1.2525,13,1
1.1777,14,1
1.3136,13,1
1.3042,19,1
1.132,18,1
0.88898,18,1
1.0376,19,1
1.1516,22,1
1.1844,15,1
1.2109,18,1
1.2804,23,1
1.2591,18,1
1.2524,18,1
1.2299,17,1
1.3086,23,1
1.33,23,1
1.3508,21,1
1.3874,15,1
1.3863,10,1
1.3571,11,1
1.2729,15,1
0.73944,26,1
0.38848,29,1
0.86001,18,1
1.5178,10,1
1.6574,10,1
1.5241,10,1
1.2983,10,1
1.5693,11,1
1.5861,11,1
1.6309,11,1
1.5808,11,1
1.6148,10,1
1.6031,10,1
1.5804,10,1
1.5358,10,1
1.4964,9,1
1.5627,9,1
1.5744,9,1
1.4568,9,1
1.4504,9,1
1.3834,8,1
1.4196,15,1
1.4891,18,1
1.5148,8,1
1.5001,8,1
1.5047,8,1
1.4983,22,1
1.4856,40,1
1.4743,40,1
1.4463,40,1
1.4274,40,1
1.4813,40,1
1.4886,40,1
1.3663,40,1
1.213,31,1
1.3924,42,1
1.4253,42,1
1.4057,42,1
1.3822,42,1
1.4049,43,1
1.426,31,1
1.469,13,1
1.5099,9,1
1.496,9,1
1.4662,9,1
1.4223,9,1
1.3833,9,1
1.427,15,1
1.4801,9,1
1.5218,10,1
1.5563,10,1
1.5765,10,1
1.5767,10,1
1.571,9,1
1.5624,9,1
1.5618,9,1
1.5808,9,1
1.5891,9,1
1.5938,9,1
1.5919,9,1
1.5415,9,1
1.5403,9,1
1.6044,9,1
1.619,9,1
1.6067,9,1
1.6204,9,1
1.597,9,1
1.605,9,1
1.5222,8,1
1.5334,8,1
1.3044,8,1
1.3191,7,1
1.0741,7,1
1.0791,9,1
1.1562,9,0
0.91379,8,0
1.2311,11,0
0.62977,25,0
0.84764,29,0
0.66793,41,0
0.42905,38,0
0.55455,41,0
0.39624,38,0
0.27826,42,0
0.38253,42,0
0.44041,48,0
0.37658,40,0
0.40212,42,0
0.33171,45,0
0.29125,44,0
0.18016,89,0
0.30096,89,0
0.17608,92,0
0.17893,91,0
0.20231,83,0
0.21773,90,0
0.21916,101,0
0.21479,94,0
0.22495,79,0
0.21401,53,0
0.43392,28,0
0.80415,14,0
0.4459,15,0
0.33407,22,0
0.57382,19,0
0.50167,24,0
0.48684,32,0
0.75756,14,0
0.7602,15,0
0.73638,23,0
0.69447,25,0
0.66312,21,0
0.59671,20,0
0.73944,14,0
0.75331,18,0
0.92037,14,0
0.9542,19,0
0.86857,19,0
0.63616,25,0
0.53369,37,0
0.48752,33,0
0.70536,25,0
0.92242,37,0
0.50294,42,0
0.51373,39,0
0.52395,39,1
0.57415,38,1
0.7821,20,1
1.4114,10,1
0.86453,10,1
0.64732,10,1
0.53285,11,1
0.98482,10,1
1.3336,11,1
1.4153,10,1
1.0965,24,1
0.74945,49,1
0.61287,38,1
0.87392,26,1
0.50593,41,1
0.47144,37,1
0.76851,28,1
0.61106,41,0
0.6161,41,0
0.47508,41,0
0.38859,49,0
0.42088,52,0
0.31352,52,0
0.32931,105,0
0.37269,126,0
0.45835,32,0
0.79458,31,0
0.8258,38,0
0.9149,34,0
0.88366,26,0
0.86839,23,0
0.87068,29,0
0.87782,33,0
0.86718,38,0
0.85043,30,0
0.81156,35,0
0.76064,28,0
0.92466,15,0
0.90675,13,0
0.8218,15,0
0.65389,25,0
0.57509,20,0
0.6124,24,0
0.54401,25,0
0.54103,20,0
0.65212,24,0
0.34486,31,0
0.45095,29,0
0.57428,22,0
0.33861,42,0
0.33757,40,0
0.25418,79,0
0.27247,73,0
0.31569,78,0
0.61406,54,0
0.19379,38,0
0.30786,34,0
0.26766,34,0
0.27382,55,0
0.24257,136,0
0.26055,154,0
0.40235,190,0
0.28707,211,0
0.2624,205,0
0.18339,150,0
0.1923,146,0
0.23387,82,0
0.23964,72,0
0.13711,40,0
0.46377,39,0
0.39947,26,0
0.52492,29,0
0.41457,34,0
0.50304,32,0
0.56755,25,0
0.52458,43,0
0.27216,79,0
0.27618,78,0
0.24526,89,0
0.27112,101,0
0.24654,94,0
0.23467,62,0
0.30172,40,0
0.24308,44,0
0.37758,57,0
0.28549,83,0
0.24438,96,0
0.31633,86,0
0.31858,99,0
0.26219,105,0
0.22861,104,0
0.28318,100,0
0.21209,118,0
0.22296,114,0
0.19184,119,0
0.29834,99,0
0.25314,111,0
0.20848,104,0
0.18038,98,0
0.21098,111,0
0.2184,107,0
0.16778,123,0
0.1985,99,0
0.21607,101,0
0.30829,104,0
0.20385,105,0
0.21843,114,0
0.19253,140,0
0.16878,150,0
0.53341,85,0
0.54552,52,0
0.35971,55,0
0.34264,55,0
0.28416,47,0
0.30665,52,0
0.5385,44,0
0.41104,46,0
0.35074,52,0
0.35811,56,0
0.29977,58,0
0.392,50,0
0.4875,45,0
0.2902,67,0
0.36548,44,0
0.44406,40,0
0.67093,39,0
0.40186,35,0
0.5995,40,0
0.33804,89,0
0.29505,119,0
0.39128,88,0
0.58054,61,0
0.43683,72,0
0.53513,44,0
0.4245,67,0
0.43144,84,0
0.39852,138,0
0.17213,57,0
0.90185,38,1
0.96937,30,1
0.76968,20,1
0.41021,18,1
0.48066,19,1
0.74296,12,1
1.1542,12,1
0.85578,16,1
1.2689,20,1
1.1281,9,1
1.3095,9,1
1.6086,9,1
1.5948,10,1
1.1968,10,1
0.52207,50,1
0.37611,55,1
0.48278,44,1
0.50093,55,1
0.2988,45,1
0.53127,56,1
0.36159,49,1
0.37105,54,1
0.40539,47,1
0.32522,47,0
0.32079,43,0
0.39909,96,0
0.23609,122,0
0.35534,62,0
0.33631,69,0
0.13887,158,0
0.11718,173,0
0.19367,139,0
0.18343,124,0
0.16305,117,0
0.1992,90,0
0.26211,93,0
0.38793,91,0
0.28983,141,0
0.30254,124,0
0.21856,103,0
0.20183,94,0
0.45987,33,0
0.59269,25,0
0.54792,34,0
0.47517,59,0
0.52873,97,1
0.30833,35,1
0.76044,15,1
0.88278,22,1
1.1522,28,1
1.1492,30,1
0.9468,24,1
1.1708,32,1
1.2678,33,1
1.1941,33,1
1.1168,32,1
1.023,33,1
1.2231,33,1
1.1334,33,1
1.0218,34,1
1.1668,33,1
1.2557,34,1
1.263,34,1
1.2535,33,1
1.2803,34,1
1.3003,34,1
1.2605,34,1
1.3004,34,1
1.3575,10,1
1.4394,9,1
1.5199,9,1
1.5705,9,1
1.5465,9,1
1.5024,9,1
1.5107,9,1
1.5028,9,1
1.5167,9,1
1.5744,9,1
1.5897,9,1
1.5723,9,1
1.5783,9,1
1.5747,10,1
1.5862,10,1
1.5848,9,1
1.5761,9,1
1.5712,9,1
1.5839,9,1
1.602,9,1
1.6023,9,1
1.5966,9,1
1.6033,9,1
1.5646,10,1
1.6323,10,1
1.6308,10,1
1.6443,10,1
1.4392,10,1
1.4893,9,1
1.0763,8,1
0.81907,18,1
0.37452,51,1
0.58929,54,1
0.87725,17,1
1.337,10,0
0.9537,12,0
0.49772,27,0
0.35064,34,0
0.43591,43,0
0.31301,38,0
0.48143,49,0
0.46425,37,0
0.64901,39,0
0.54241,34,0
0.37635,43,0
0.37678,58,0
0.31445,89,0
0.25282,79,0
0.45122,65,0
0.36977,71,0
0.25836,74,0
0.39437,88,0
0.33566,61,0
0.38218,53,0
0.40848,69,0
0.2412,122,0
0.2701,89,0
