@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
739.48,-4.5474,430.66,0.027724,1,14,1
710.99,-4.5625,409.13,0.0335,1,13,1
718.36,-4.577,409.13,0.033857,1,13,1
674.52,-4.6541,753.66,0.041969,1,13,1
614.93,-4.5834,732.13,0.029555,1,13,1
759.96,-4.5529,689.06,0.028133,1,13,1
761.55,-4.4494,667.53,0.025504,1,13,1
925.08,-4.2663,646,0.020815,1,13,1
848.54,-4.5298,624.46,0.034272,1,13,1
693.54,-4.7744,581.4,0.033857,1,13,1
498.85,-4.9352,538.33,0.030891,1,13,1
415.93,-4.9382,495.26,0.02774,1,13,1
320.11,-4.9747,473.73,0.026539,1,13,1
307.24,-4.8606,473.73,0.018777,1,13,1
312.52,-4.7752,473.73,0.016019,1,13,1
299.57,-4.8885,473.73,0.016846,1,13,1
636.28,-5.1587,473.73,0.026424,1,12,1
558.43,-5.0918,452.2,0.015119,1,12,1
381.84,-4.9933,473.73,0.019445,1,13,1
425.22,-4.9452,473.73,0.019845,1,13,1
367.3,-4.9616,495.26,0.022301,1,13,1
358.7,-4.8222,495.26,0.014954,1,13,1
340.35,-4.8338,495.26,0.015854,1,13,1
368.78,-4.8725,495.26,0.018073,1,13,1
382.55,-4.8566,495.26,0.020645,1,13,1
356.6,-4.7966,516.8,0.018545,1,13,1
364.62,-4.7376,516.8,0.015195,1,13,1
404.61,-4.7492,516.8,0.01647,1,13,1
453.27,-4.6238,516.8,0.014815,1,15,1
401.81,-4.7163,538.33,0.021755,1,17,1
394,-4.843,538.33,0.03514,1,17,1
356.69,-4.8224,538.33,0.029181,1,17,1
526.74,-5.0681,559.86,0.044632,1,17,1
929.67,-4.9832,646,0.027031,1,17,1
2088.3,-5.0051,495.26,0.063127,2,17,1
3790.7,-4.7398,538.33,0.058326,3,5,1
3776.8,-4.536,538.33,0.059863,5,5,1
3092.2,-4.7801,516.8,0.067229,6,5,1
4002,-4.7425,538.33,0.051395,2,5,1
5004.3,-4.8404,581.4,0.066124,3,12,1
7434.6,-4.7685,581.4,0.054836,2,13,1
7189,-4.4392,581.4,0.048683,3,5,1
6482.8,-4.4703,581.4,0.056675,2,21,1
5636.9,-4.0748,559.86,0.03456,3,5,1
4825.9,-4.1702,559.86,0.037008,4,5,1
4381.3,-4.2982,538.33,0.030197,4,6,1
3524.6,-4.421,538.33,0.046615,6,5,1
2860.6,-4.3847,516.8,0.061109,6,5,1
2565.6,-4.2581,516.8,0.067431,5,5,1
2037.6,-4.3256,495.26,0.065565,6,5,1
1610.6,-4.3232,495.26,0.049899,5,5,1
1825,-4.3545,473.73,0.05159,3,13,1
1664.8,-4.364,473.73,0.058138,4,5,1
1522.1,-4.3414,473.73,0.047701,3,5,1
1704.7,-4.1638,473.73,0.045773,4,5,1
1862.6,-4.0788,473.73,0.042763,1,13,1
1892.1,-4.081,473.73,0.048071,2,13,1
1864.5,-4.0724,473.73,0.052606,3,13,1
1772.3,-4.1408,473.73,0.056474,3,5,1
1654.4,-4.1658,452.2,0.051354,2,13,1
1492.5,-4.2211,452.2,0.045998,2,13,1
1377.4,-4.2672,452.2,0.045062,2,13,1
1318.5,-4.3111,452.2,0.041936,1,13,1
1406.9,-4.208,452.2,0.04287,1,13,1
1359.1,-4.2509,452.2,0.041399,1,13,1
1803.1,-4.6976,452.2,0.049962,1,14,1
1754.9,-4.4828,473.73,0.053315,2,14,1
1895.5,-4.2689,473.73,0.050662,2,14,1
2005,-4.2456,473.73,0.044196,1,14,1
2021.3,-4.2972,473.73,0.048634,1,14,1
1980.4,-4.3623,473.73,0.041342,2,14,1
1897.9,-4.5337,473.73,0.049092,2,14,1
1906.2,-4.42,495.26,0.047702,2,14,1
2020.9,-4.3756,495.26,0.0508,2,14,1
2252.8,-4.285,495.26,0.046606,2,14,1
2321.2,-4.3042,495.26,0.048108,2,14,1
2280.3,-4.426,495.26,0.055817,2,14,1
2369.7,-4.3911,495.26,0.05796,2,14,1
2451.8,-4.4538,516.8,0.056918,4,3,1
2714,-4.2489,516.8,0.045059,3,9,1
3032.3,-4.1952,516.8,0.044096,2,14,1
3119,-4.1054,516.8,0.042124,3,6,1
3126,-4.0571,516.8,0.046692,2,14,1
3243.4,-3.9913,516.8,0.039943,2,14,1
3267.7,-4.0642,516.8,0.036906,2,14,1
3294.3,-4.0227,516.8,0.037286,2,14,1
3374,-3.9561,516.8,0.030606,2,14,1
3487.2,-3.8658,516.8,0.029695,2,14,1
3437.5,-3.825,516.8,0.033323,2,9,1
3314.6,-3.7984,516.8,0.025367,2,9,1
3267.5,-3.6844,516.8,0.02442,1,22,1
3190.1,-3.7764,495.26,0.021953,1,17,1
2901.9,-3.9052,495.26,0.034723,2,14,1
2831.6,-3.8207,495.26,0.028121,1,14,1
3440.9,-3.7092,495.26,0.018031,1,14,1
