@relation featureMatrix

@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.00079638,0.11525,0.32223,9,0
0.0010223,0.07441,0.28935,6,0
0.00056282,0.097096,0.13074,12,0
0.00054813,0.11343,0.25186,29,0
0.00061732,0.11071,0.28438,18,0
0.00054418,0.13702,0.31793,25,0
0.00064215,0.11706,0.20291,29,0
0.00060827,0.096189,0.040268,27,0
0.0005313,0.12341,0.10746,27,0
0.0015169,0.13067,0.19432,10,0
0.0026282,0.13612,0.24139,11,0
0.002709,0.13249,0.203,12,0
0.0022102,0.11797,0.21198,11,0
0.0015136,0.12432,0.18834,13,0
0.00091696,0.12341,0.17015,12,0
0.00075627,0.12795,0.1888,14,0
0.0013286,0.15426,0.12281,20,0
0.0019268,0.18421,0.18074,21,0
0.0018797,0.20508,0.20482,23,0
0.0015453,0.17786,0.20207,17,0
0.0022416,0.1225,0.16813,9,0
0.0032147,0.080762,0.2866,7,0
0.0031256,0.07804,0.35269,5,0
0.0025835,0.11797,0.11472,11,0
0.0023188,0.13702,0.13896,15,0
0.0018882,0.15971,0.19801,20,0
0.0013109,0.1824,0.20937,15,0
0.0012967,0.16606,0.17237,13,0
0.0025173,0.12613,0.33528,10,0
0.0043235,0.10254,0.35311,9,0
0.0064093,0.11162,0.36854,12,0
0.0083151,0.11797,0.31487,9,0
0.009307,0.13975,0.25116,8,0
0.0095802,0.14247,0.3128,10,0
0.0093254,0.13339,0.34586,10,0
0.0095473,0.13249,0.45104,12,0
0.0098761,0.12613,0.34644,10,0
0.0091874,0.11343,0.30958,11,0
0.0079536,0.11162,0.27391,12,0
0.0069238,0.11615,0.31126,8,0
0.0063841,0.10345,0.40985,8,0
0.0049129,0.079855,0.29554,9,0
0.0031839,0.075318,0.24337,10,0
0.0028384,0.085299,0.17643,12,0
0.0025896,0.08167,0.29994,7,0
0.002669,0.073503,0.41002,4,0
0.0032164,0.075318,0.45801,4,0
0.0035845,0.096189,0.31578,12,0
0.0071573,0.11434,0.4256,8,0
0.010819,0.13521,0.33447,15,0
0.013148,0.15336,0.19988,22,0
0.01539,0.14519,0.30811,22,0
0.014984,0.20054,0.33057,29,0
0.016342,0.24319,0.28272,29,0
0.017215,0.17786,0.20942,30,0
0.0132,0.1216,0.19864,15,0
0.0097308,0.098004,0.27906,12,0
0.0080118,0.065336,0.20674,8,0
0.0071162,0.056261,0.11183,9,0
0.0092681,0.040835,0.0033009,3,0
0.0096285,0.024501,0,1,0
0.0064565,0.034483,0.0087333,3,0
0.0039111,0.041742,0.034555,12,0
0.063823,0.03539,0.74664,3,1
0.091265,0.03176,0.45972,3,1
0.094333,0.033575,1.1881,3,1
0.10106,0.03539,0.62862,2,1
0.14924,0.033575,1.0919,3,1
0.16525,0.03176,1.1308,3,1
0.13945,0.03539,1.0108,3,1
0.13462,0.038113,1.3515,5,1
0.15036,0.036298,1.515,5,1
0.16635,0.028131,1.6333,9,1
0.1678,0.029946,1.6269,8,1
0.16325,0.038113,1.6216,8,1
0.14709,0.040835,1.5576,8,1
0.13183,0.040835,1.4978,5,1
0.12228,0.03902,1.4091,5,1
0.1102,0.038113,1.2399,5,1
0.10798,0.03902,1.2232,4,1
0.11016,0.038113,1.2358,6,1
0.10397,0.040835,1.3396,3,1
0.10393,0.037205,1.3643,3,1
0.11375,0.030853,1.3906,3,1
0.12768,0.028131,1.4523,3,1
0.13985,0.027223,1.5774,3,1
0.13561,0.026316,1.3654,2,1
0.11001,0.024501,1.179,2,1
0.081256,0.029038,1.1143,2,1
0.073994,0.032668,1.2296,3,1
0.072387,0.029946,1.0467,3,1
0.071918,0.029946,1.0048,3,1
0.068703,0.030853,0.93634,4,1
0.070024,0.030853,0.91678,4,1
0.080188,0.037205,0.62825,4,1
0.08085,0.036298,0.49606,5,1
0.078517,0.036298,0.72955,5,1
0.077362,0.041742,0.90363,4,1
0.072669,0.03902,1.1634,5,1
0.071709,0.034483,1.2576,5,1
0.07222,0.03176,1.2541,4,1
0.07364,0.029946,1.2202,4,1
0.074866,0.027223,1.2182,4,1
0.074415,0.028131,1.3082,4,1
0.076621,0.026316,1.3299,5,1
0.08167,0.022686,1.3482,5,1
0.081964,0.023593,1.3872,4,1
0.07901,0.021779,1.3874,2,1
0.077056,0.021779,1.3575,2,1
0.076607,0.023593,1.2732,4,1
0.085446,0.025408,0.75323,2,1
0.10426,0.036298,0.3752,5,1
0.24231,0.034483,1.1708,2,1
0.40014,0.023593,1.5179,2,1
0.46627,0.022686,1.6574,2,1
0.44948,0.022686,1.5828,2,1
0.47642,0.028131,1.4202,2,1
0.55806,0.03176,1.5692,2,1
0.65128,0.029038,1.5861,2,1
0.69158,0.026316,1.631,2,1
0.66372,0.024501,1.5807,2,1
0.62079,0.024501,1.6149,2,1
0.57019,0.024501,1.6032,2,1
0.49284,0.023593,1.5803,2,1
0.41235,0.023593,1.5357,2,1
0.37944,0.022686,1.5769,2,1
0.33265,0.021779,1.6439,2,1
0.2672,0.021779,1.6544,2,1
0.23235,0.020871,1.6163,2,1
0.22155,0.024501,1.6149,2,1
0.20188,0.033575,1.5565,2,1
0.19473,0.038113,1.5517,2,1
0.21324,0.030853,1.6134,2,1
0.22513,0.021779,1.6259,2,1
0.22833,0.019964,1.6205,2,1
0.22529,0.019964,1.6331,2,1
0.2171,0.030853,1.6415,7,1
0.20368,0.039927,1.6347,9,1
0.186,0.03902,1.6293,9,1
0.17485,0.044465,1.5966,8,1
0.17067,0.050817,1.5746,8,1
0.17588,0.047187,1.6088,8,1
0.18241,0.040835,1.6001,9,1
0.18715,0.056261,1.4829,8,1
0.19768,0.061706,1.3594,9,1
0.21559,0.047187,1.4591,9,1
0.22753,0.048094,1.4466,9,1
0.22511,0.066243,1.4016,9,1
0.22236,0.060799,1.3839,9,1
0.22055,0.041742,1.3777,9,1
0.22239,0.041742,1.3997,7,1
0.23733,0.043557,1.4587,2,1
0.2565,0.04265,1.5118,2,1
0.2641,0.037205,1.5238,2,1
0.26328,0.038113,1.5088,2,1
0.26842,0.040835,1.518,2,1
0.28479,0.037205,1.5377,2,1
0.3186,0.036298,1.572,3,1
0.35197,0.03176,1.6067,2,1
0.37274,0.024501,1.6051,2,1
0.38415,0.022686,1.5892,2,1
0.39603,0.022686,1.6073,2,1
0.40672,0.022686,1.6024,2,1
0.40848,0.022686,1.6207,2,1
0.41343,0.022686,1.6183,2,1
0.42554,0.022686,1.6432,2,1
0.43043,0.021779,1.6567,2,1
0.42344,0.022686,1.6646,2,1
0.4185,0.022686,1.6727,2,1
0.40486,0.021779,1.6855,2,1
0.37485,0.021779,1.6783,2,1
0.38254,0.020871,1.6887,2,1
0.45161,0.020871,1.728,2,1
