@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.001748,69,0
0.00087557,78,0
0.00069097,71,0
0.00045747,43,0
0.00014688,107,0
0.00047983,113,0
0.00028016,105,0
0.00077019,111,0
0.00077344,76,0
0.0015538,42,0
0.0014543,44,0
0.00049821,46,0
0.00077228,87,0
0.00085603,36,0
0.0012867,132,0
0.0009815,47,0
0.00061232,54,0
0.000299,115,0
0.00050045,105,0
0.0041928,105,0
0.0033413,42,0
0.0033347,51,0
0.0030735,69,0
0.0016985,46,0
0.0024662,72,0
0.0013382,98,0
0.0029414,115,0
0.0040554,26,0
0.0029796,51,0
0.0021629,15,0
0.0031888,30,0
0.0045145,142,0
0.0038012,64,0
0.0022185,45,0
0.002631,131,0
0.0016752,84,0
0.0017866,61,0
0.0033073,136,0
0.0058341,128,0
0.00669,61,0
0.008904,72,0
0.011411,65,0
0.0090508,120,0
0.010168,38,0
0.01215,55,0
0.011518,82,0
0.0099793,54,0
0.011083,54,0
0.0086289,57,0
0.0070999,100,0
0.0047014,82,0
0.0032848,40,0
0.0027188,25,0
0.0038789,51,0
0.0027349,53,0
0.0024034,51,0
0.0039329,52,0
0.0098838,18,0
0.013609,72,0
0.011424,19,0
0.011046,120,0
0.014378,121,0
0.017388,6,0
0.016999,95,0
0.010792,20,0
0.0073336,60,0
0.0046133,40,0
0.0034144,43,0
0.00088734,160,0
0.0015845,119,0
0.0024203,92,0
0.001947,113,0
0.017248,82,1
0.031679,111,1
0.059901,123,1
0.042385,108,1
0.045749,88,1
0.047064,64,1
0.07487,59,1
0.099962,53,1
0.10155,50,1
0.09507,49,1
0.098076,49,1
0.09828,49,1
0.1045,50,1
0.099921,52,1
0.10024,53,1
0.088303,57,1
0.0914,60,1
0.086586,64,1
0.084402,69,1
0.076711,72,1
0.07577,78,1
0.075455,85,1
0.077961,88,1
0.052349,98,1
0.053785,109,1
0.043508,122,1
0.055758,130,1
0.054814,141,1
0.062376,142,1
0.055571,144,1
0.048396,140,1
0.020218,52,1
0.026191,145,1
0.046351,145,1
0.046947,141,1
0.05803,136,1
0.063243,135,1
0.068414,134,1
0.063954,134,1
0.065816,130,1
0.078196,127,1
0.071662,125,1
0.067529,124,1
0.077365,121,1
0.073737,120,1
0.065783,116,1
0.074529,119,1
0.031324,111,1
0.029819,74,1
0.047439,43,1
0.063037,34,1
0.089358,34,1
0.063438,34,1
0.074388,28,1
0.082468,25,1
0.081106,103,1
0.095628,24,1
0.097064,26,1
0.13941,28,1
0.14644,29,1
0.15155,31,1
0.12083,34,1
0.12292,36,1
0.12595,38,1
0.11244,39,1
0.11081,41,1
0.11337,44,1
0.12158,46,1
0.1154,46,1
0.11502,46,1
0.11743,46,1
0.11783,46,1
0.12266,46,1
0.12203,47,1
0.11712,48,1
0.1136,48,1
0.11386,49,1
0.11103,49,1
0.1146,48,1
0.10607,48,1
0.089248,48,1
0.12057,46,1
0.11937,45,1
0.11901,44,1
0.12227,45,1
0.12168,44,1
0.11494,43,1
0.1205,41,1
0.11538,40,1
0.12859,40,1
0.13172,40,1
0.13172,39,1
0.13791,38,1
0.13907,37,1
0.13039,36,1
0.12939,35,1
0.13168,35,1
0.12099,35,1
0.12232,35,1
0.1325,35,1
0.13103,35,1
0.12547,36,1
0.12176,36,1
0.11747,36,1
0.11514,37,1
0.11366,37,1
0.12212,38,1
0.12766,39,1
0.11759,40,1
0.10622,41,1
0.098081,41,1
0.099413,40,1
0.094034,40,1
0.087676,41,1
0.10306,43,1
0.084742,45,1
0.060037,48,1
0.044823,52,1
0.029835,52,1
0.016138,51,1
0.015257,44,1
0.012438,48,0
0.0044824,51,0
0.0062735,36,0
0.0026882,44,0
0.0042864,35,0
0.0029251,76,0
0.002277,12,0
0.0037067,57,0
0.0028899,52,0
0.0019796,11,0
0.0025648,94,0
0.0030705,71,0
0.00286,12,0
0.0042444,64,0
0.002161,91,0
0.001809,139,0
0.0011451,70,0
0.0017465,94,0
0.001979,104,0
0.0027907,26,0
0.002289,61,0
0.001915,60,0
0.0028372,20,0
0.0034399,51,0
0.0027582,73,0
0.0024872,61,0
0.0090726,14,0
0.0066475,12,0
0.0046917,124,0
