@relation featureMatrix

@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.063823,0.03539,130.49,4.4432,646,1
0.091265,0.03176,831.48,4.586,689.06,1
0.094333,0.033575,656.35,4.4722,753.66,1
0.10106,0.03539,649.94,4.8548,538.33,1
0.14924,0.033575,1196.3,4.5296,624.46,1
0.16525,0.03176,1530.1,4.3542,689.06,1
0.13945,0.03539,1049.8,4.5143,387.6,1
0.13462,0.038113,1123.2,4.3783,409.13,1
0.15036,0.036298,1116,4.2569,430.66,1
0.16635,0.028131,1312.5,4.0254,430.66,1
0.1678,0.029946,1300.4,3.9388,430.66,1
0.16325,0.038113,1294.1,3.8637,430.66,1
0.14709,0.040835,1171.3,4.0757,430.66,1
0.13183,0.040835,1007.5,4.1023,430.66,1
0.12228,0.03902,912.21,4.244,409.13,1
0.1102,0.038113,786.47,4.3047,409.13,1
0.10798,0.03902,765.47,4.2886,387.6,1
0.11016,0.038113,767.42,4.3184,387.6,1
0.10397,0.040835,725.05,4.4002,732.13,1
0.10393,0.037205,659.55,4.3291,710.6,1
0.11375,0.030853,803.11,4.3405,667.53,1
0.12768,0.028131,798.85,4.2494,646,1
0.13985,0.027223,974.99,4.021,624.46,1
0.13561,0.026316,889.44,4.3373,602.93,1
0.11001,0.024501,738.39,4.5756,559.86,1
0.081256,0.029038,531.77,4.7488,516.8,1
0.073994,0.032668,455.33,4.7217,473.73,1
0.072387,0.029946,368.08,4.6896,452.2,1
0.071918,0.029946,355.37,4.5492,452.2,1
0.068703,0.030853,357.94,4.4735,452.2,1
0.070024,0.030853,344.64,4.6022,452.2,1
0.080188,0.037205,645.58,4.9509,452.2,1
0.08085,0.036298,586.41,4.8292,430.66,1
0.078517,0.036298,426.67,4.7403,452.2,1
0.077362,0.041742,467.23,4.6878,452.2,1
0.072669,0.03902,411.41,4.6578,473.73,1
0.071709,0.034483,407.47,4.5076,473.73,1
0.07222,0.03176,389.6,4.5249,473.73,1
0.07364,0.029946,414.74,4.6057,473.73,1
0.074866,0.027223,427.35,4.5818,473.73,1
0.074415,0.028131,407.26,4.4808,495.26,1
0.076621,0.026316,405.78,4.4695,495.26,1
0.08167,0.022686,449.85,4.4835,495.26,1
0.081964,0.023593,495.36,4.3678,495.26,1
0.07901,0.021779,453.54,4.397,516.8,1
0.077056,0.021779,442.81,4.5672,516.8,1
0.076607,0.023593,404.24,4.529,516.8,1
0.085446,0.025408,579.43,4.8364,538.33,1
0.10426,0.036298,983.29,4.7931,624.46,1
0.24231,0.034483,2177.9,4.7904,473.73,1
0.40014,0.023593,3930.4,4.3673,516.8,1
0.46627,0.022686,3926.2,3.9116,516.8,1
0.44948,0.022686,3246.5,4.0267,495.26,1
0.47642,0.028131,4168.2,4.0459,516.8,1
0.55806,0.03176,5155.9,4.2773,559.86,1
0.65128,0.029038,7591.3,4.3571,559.86,1
0.69158,0.026316,7332.8,4.0566,559.86,1
0.66372,0.024501,6606,4.0607,559.86,1
0.62079,0.024501,5751.1,3.6061,538.33,1
0.57019,0.024501,4977.5,3.6456,538.33,1
0.49284,0.023593,4527,3.8054,516.8,1
0.41235,0.023593,3660.8,3.9457,516.8,1
0.37944,0.022686,2968.3,3.9594,495.26,1
0.33265,0.021779,2645.2,3.8707,495.26,1
0.2672,0.021779,2105.8,3.9154,473.73,1
0.23235,0.020871,1675.1,3.9882,473.73,1
0.22155,0.024501,1888.7,4.0715,452.2,1
0.20188,0.033575,1718.3,4.0796,452.2,1
0.19473,0.038113,1582,4.0084,452.2,1
0.21324,0.030853,1756.2,3.8685,452.2,1
0.22513,0.021779,1922.3,3.8023,452.2,1
0.22833,0.019964,1943.8,3.8147,452.2,1
0.22529,0.019964,1910,3.7969,452.2,1
0.2171,0.030853,1825.5,3.8546,452.2,1
0.20368,0.039927,1705.2,3.864,430.66,1
0.186,0.03902,1544.6,3.9169,430.66,1
0.17485,0.044465,1432.1,3.9625,430.66,1
0.17067,0.050817,1377,4.0172,430.66,1
0.17588,0.047187,1462,3.8932,430.66,1
0.18241,0.040835,1422.7,3.9345,430.66,1
0.18715,0.056261,1871.7,4.4543,430.66,1
0.19768,0.061706,1831.6,4.1552,452.2,1
0.21559,0.047187,1960,3.9815,452.2,1
0.22753,0.048094,2087.9,3.8902,452.2,1
0.22511,0.066243,2103.2,3.9398,452.2,1
0.22236,0.060799,2054.5,4.0526,452.2,1
0.22055,0.041742,1988.2,4.1913,452.2,1
0.22239,0.041742,1987.2,4.0902,473.73,1
0.23733,0.043557,2101.1,4.0524,473.73,1
0.2565,0.04265,2330.5,3.9457,473.73,1
0.2641,0.037205,2403.5,3.9674,473.73,1
0.26328,0.038113,2366.1,4.0902,473.73,1
0.26842,0.040835,2458.7,4.0526,473.73,1
0.28479,0.037205,2557.6,4.042,495.26,1
0.3186,0.036298,2814.8,3.8393,495.26,1
0.35197,0.03176,3124.8,3.7409,495.26,1
0.37274,0.024501,3204.5,3.6095,495.26,1
0.38415,0.022686,3207.8,3.6284,495.26,1
0.39603,0.022686,3307.7,3.5427,495.26,1
0.40672,0.022686,3351.8,3.5841,495.26,1
0.40848,0.022686,3370.2,3.5865,495.26,1
0.41343,0.022686,3453.6,3.5727,495.26,1
0.42554,0.022686,3554.6,3.4922,495.26,1
0.43043,0.021779,3507.9,3.43,495.26,1
0.42344,0.022686,3379.1,3.417,495.26,1
0.4185,0.022686,3330.5,3.2986,495.26,1
0.40486,0.021779,3262.1,3.3895,473.73,1
0.37485,0.021779,2981.9,3.5429,473.73,1
0.38254,0.020871,2909.2,3.4838,473.73,1
0.45161,0.020871,3529.8,3.3648,473.73,1
0.51421,0.021779,4153.6,3.1399,473.73,1
0.54769,0.021779,4432.2,3.1448,473.73,1
0.55891,0.021779,4665.1,3.2275,473.73,1
0.54686,0.020871,4297.6,3.1811,473.73,1
0.51395,0.019964,4036.4,3.0872,452.2,1
0.4334,0.019964,3231.5,3.1587,452.2,1
0.33093,0.019964,2110.6,3.0293,430.66,1
0.22471,0.019056,1271.5,3.1874,409.13,1
0.10277,0.019056,468.85,3.5469,409.13,1
0.046807,0.019964,0,4.3118,387.6,1
0.015142,0.029038,9.6218,4.2153,473.73,1
0.0086361,0.044465,21.408,4.3215,430.66,0
0.0043516,0.066243,32.87,5.0057,409.13,0
0.0032675,0.080762,35.01,4.9093,452.2,0
0.0026475,0.085299,38.981,5.315,473.73,0
0.0023815,0.075318,37.336,5.0981,409.13,0
0.0022423,0.083485,40.884,5.2784,430.66,0
0.0016705,0.10526,40.335,5.432,2088.7,0
0.0017194,0.10889,41.025,5.2596,2024.1,0
0.0020657,0.10617,43.782,5.2768,2174.9,0
0.0023026,0.098004,45.625,5.2671,559.86,0
0.0021811,0.094374,45.992,5.36,2067.2,0
0.0019211,0.097096,43.575,5.3385,2110.3,0
0.0018722,0.11434,43.776,5.4426,2153.3,0
0.0016296,0.12886,44.22,5.3866,2196.4,0
0.0012901,0.12886,41.013,5.4316,2217.9,0
0.0010955,0.14247,37.229,5.516,2088.7,0
0.00087042,0.14428,38.648,5.6026,689.06,0
0.0014827,0.1216,48.971,5.7246,86.133,0
0.0016891,0.14247,49.866,5.6746,0,0
0.0013596,0.18149,54.732,5.7092,129.2,0
0.0013317,0.17332,54.015,5.7247,1119.7,0
0.0015155,0.16969,53.287,5.6946,0,0
0.0016395,0.17786,56.207,5.7106,43.066,0
0.001926,0.17151,64.719,5.6902,0,0
0.0018682,0.16788,61.955,5.7018,323,0
0.0070447,0.14791,57.196,5.5488,0,0
0.0080737,0.11071,47.726,5.0158,753.66,0
0.0095531,0.084392,39.396,5.0244,775.2,0
0.011541,0.10617,49.204,5.2754,753.66,0
0.0096991,0.11252,44.291,5.0539,732.13,0
