@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralNumPeaks_min REAL
@ATTRIBUTE cepstralLocFirstPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.27065,0.064428,0.059074,4,4,0.26842,0.04265,0.058264,4,4,1
0.27041,0.064428,0.067908,4,4,0.26818,0.04265,0.067098,4,4,1
0.28026,0.055354,0.065216,4,4,0.27803,0.033575,0.064406,4,4,1
0.2976,0.04265,0.065423,4,4,0.29537,0.020871,0.064613,4,4,1
0.30672,0.032668,0.058607,3,5,0.30449,0.010889,0.057797,3,5,1
0.31004,0.023593,0.065811,4,4,0.30781,0.0018149,0.065001,4,4,1
0.30616,0.021779,0.06211,3,5,0.30393,0,0.0613,3,5,1
0.29965,0.020871,0.068274,4,5,0.29742,0,0.067464,4,5,1
0.29442,0.022686,0.064554,4,5,0.29219,0.0018149,0.063744,4,5,1
0.29787,0.028131,0.067564,4,5,0.29564,0.0072595,0.066753,4,5,1
0.30256,0.028131,0.062445,4,5,0.30033,0.0072595,0.061634,4,5,1
0.29563,0.027223,0.062455,4,5,0.2934,0.0063521,0.061645,4,5,1
0.28677,0.033575,0.060428,4,5,0.28454,0.012704,0.059617,4,5,1
0.27378,0.04265,0.050547,4,5,0.27155,0.021779,0.049737,4,5,1
0.2671,0.046279,0.050091,4,5,0.26487,0.025408,0.049281,4,5,1
0.26601,0.043557,0.061305,3,4,0.26378,0.022686,0.060494,3,4,1
0.2554,0.041742,0.063691,2,5,0.25317,0.020871,0.062881,2,5,1
0.24925,0.04265,0.056059,3,4,0.24702,0.021779,0.055249,3,4,1
0.24025,0.034483,0.042735,1,14,0.23802,0.013612,0.041925,1,14,1
0.23536,0.033575,0.054352,2,13,0.23313,0.012704,0.053542,2,13,1
0.22416,0.051724,0.062726,2,13,0.22193,0.030853,0.061916,2,13,1
0.20329,0.052632,0.057258,1,13,0.20106,0.03176,0.056448,1,13,1
0.20625,0.041742,0.051153,1,13,0.20402,0.020871,0.050342,1,13,1
0.19958,0.039927,0.053221,1,14,0.19735,0.019056,0.05241,1,14,1
0.19486,0.037205,0.052709,1,14,0.19263,0.016334,0.051899,1,14,1
0.22766,0.033575,0.061396,1,13,0.22543,0.012704,0.060586,1,13,1
0.245,0.03539,0.061384,1,13,0.24277,0.014519,0.060573,1,13,1
0.21104,0.036298,0.061531,1,14,0.20881,0.015426,0.06072,1,14,1
0.15962,0.03176,0.053657,1,13,0.15739,0.010889,0.052846,1,13,1
0.14229,0.036298,0.055649,1,13,0.14006,0.015426,0.054839,1,13,1
0.12834,0.040835,0.049416,1,13,0.12612,0.019964,0.048605,1,13,1
0.097579,0.043557,0.03792,1,13,0.095351,0.022686,0.03711,1,13,1
0.087752,0.041742,0.037193,1,13,0.085524,0.020871,0.036382,1,13,1
0.10492,0.032668,0.038499,1,13,0.1027,0.011797,0.037689,1,13,1
0.11139,0.033575,0.032158,1,13,0.10916,0.012704,0.031348,1,13,1
0.10817,0.033575,0.025314,1,13,0.10594,0.012704,0.024503,1,13,1
0.11913,0.030853,0.020692,1,13,0.1169,0.0099819,0.019882,1,13,1
0.11867,0.03176,0.011813,1,13,0.11644,0.010889,0.011002,1,13,1
0.11602,0.029946,0.005251,0,0,0.11379,0.0090744,0.0044405,0,0,1
0.1162,0.028131,0.012143,1,19,0.11397,0.0072595,0.011332,1,19,1
0.11374,0.024501,0.0032361,0,0,0.11152,0.0036298,0.0024256,0,0,1
0.11198,0.021779,0.0071064,0,0,0.10975,0.00090744,0.0062959,0,0,1
0.079116,0.028131,0.0024193,0,0,0.076888,0.0072595,0.0016088,0,0,1
0.032012,0.043557,0.0051232,0,0,0.029784,0.022686,0.0043127,0,0,1
0.02062,0.036298,0.0025872,0,0,0.018392,0.015426,0.0017767,0,0,1
0.019472,0.018149,5.809e-05,0,0,0.017244,0,0,0,0,1
0.011514,0.044465,0.00037019,0,0,0.0092862,0.026316,0.0003121,0,0,1
0.01036,0.053539,0.0025863,0,0,0.0081317,0.03539,0.0025282,0,0,1
0.013161,0.03176,0.0049656,0,0,0.010933,0.013612,0.0049076,0,0,1
0.013776,0.025408,0.0038748,0,0,0.011548,0.0072595,0.0038167,0,0,0
0.012272,0.023593,0.0021835,0,0,0.010044,0.0054446,0.0021254,0,0,0
0.0074759,0.038113,0.0036753,0,0,0.005248,0.019964,0.0036173,0,0,0
0.0043124,0.088929,0.003271,0,0,0.0020845,0.07078,0.0032129,0,0,0
0.0029858,0.11887,0.0064139,0,0,0.00075788,0.10073,0.0063558,0,0,0
0.0023971,0.11434,0.0053362,0,0,0.00016916,0.096189,0.0052781,0,0,0
0.0025065,0.11434,0.0074631,0,0,0.00027855,0.096189,0.007405,0,0,0
0.002229,0.12704,0.0052054,0,0,1.0106e-06,0.10889,0.0051473,0,0,0
0.0018429,0.14882,0.0051295,0,0,0,0.13067,0.0050714,0,0,0
0.0018017,0.15064,0.004962,0,0,0,0.13249,0.0049039,0,0,0
0.0016858,0.14701,0.0055974,0,0,0,0.12886,0.0055393,0,0,0
0.0016838,0.13975,0.0035087,0,0,0,0.1216,0.0034506,0,0,0
0.0015937,0.13884,0.0029035,0,0,0,0.12069,0.0028454,0,0,0
0.0016213,0.14701,0.0046706,0,0,2.7633e-05,0.12886,0.0046125,0,0,0
0.0016503,0.15245,0.0022832,0,0,5.6604e-05,0.1343,0.0022252,0,0,0
0.001645,0.12976,0.0019002,0,0,5.1336e-05,0.11162,0.0018421,0,0,0
0.0016683,0.12341,0.0025978,0,0,7.4598e-05,0.10526,0.0025397,0,0,0
0.0014711,0.15336,0.0018858,0,0,0,0.13521,0.0018277,0,0,0
0.0013076,0.15971,0.0023821,0,0,0,0.14156,0.002324,0,0,0
0.0013672,0.16515,0.0013251,0,0,5.9596e-05,0.14701,0.001267,0,0,0
0.0013951,0.17695,0.002428,0,0,8.7509e-05,0.1588,0.0023699,0,0,0
0.0012238,0.18603,0.0017317,0,0,0,0.16788,0.0016736,0,0,0
0.0010825,0.18421,0.0012584,0,0,0,0.16606,0.0012003,0,0,0
0.0011544,0.17604,0.00092492,0,0,7.1899e-05,0.15789,0.00086683,0,0,0
0.0013259,0.15426,0.0011783,0,0,0.00024339,0.13612,0.0011202,0,0,0
0.0012375,0.16969,0.0013041,0,0,0.00015508,0.15154,0.001246,0,0,0
0.0010457,0.20871,0.001524,0,0,0,0.19056,0.0014659,0,0,0
0.0009479,0.22232,0.0007125,0,0,0,0.20417,0.00065441,0,0,0
0.0010953,0.20236,0.00054682,0,0,0.00014745,0.18421,0.00048873,0,0,0
0.0011989,0.16606,0.00072152,0,0,0.00025095,0.14791,0.00066343,0,0,0
0.0010645,0.18421,0.001012,0,0,0.00011661,0.16606,0.00095387,0,0,0
0.00094367,0.22323,0.0015837,0,0,0,0.20508,0.0015256,0,0,0
0.00091538,0.20599,0.00089905,0,0,0,0.18784,0.00084096,0,0,0
0.0011283,0.15154,0.00092615,0,0,0.00021293,0.13339,0.00086806,0,0,0
0.0012635,0.14247,0.00087119,0,0,0.00034809,0.12432,0.0008131,0,0,0
0.0011172,0.16697,0.00042618,0,0,0.00020177,0.14882,0.00036809,0,0,0
0.0010912,0.16243,0.00098241,0,0,0.00017586,0.14428,0.00092432,0,0,0
0.0011061,0.1588,0.0017719,0,0,0.00019072,0.14065,0.0017138,0,0,0
0.0010227,0.16788,0.0023143,0,0,0.00010736,0.14973,0.0022562,0,0,0
0.0011297,0.16515,0.0020159,0,0,0.00021436,0.14701,0.0019579,0,0,0
