@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.22416,0.051724,2103.5,4.6198,452.2,0.22193,0.030853,2042.5,0.58729,366.06,1
0.20329,0.052632,1944.6,4.5692,452.2,0.20106,0.03176,1883.6,0.53672,366.06,1
0.20625,0.041742,1972.8,4.4798,430.66,0.20402,0.020871,1911.8,0.44729,344.53,1
0.19958,0.039927,1764.4,4.7398,430.66,0.19735,0.019056,1703.5,0.70732,344.53,1
0.19486,0.037205,1816.1,4.5948,796.73,0.19263,0.016334,1755.1,0.56233,710.6,1
0.22766,0.033575,1943.1,4.5786,753.66,0.22543,0.012704,1882.1,0.54613,667.53,1
0.245,0.03539,2063.1,4.4476,732.13,0.24277,0.014519,2002.1,0.41515,646,1
0.21104,0.036298,1859.2,4.505,710.6,0.20881,0.015426,1798.2,0.47251,624.46,1
0.15962,0.03176,1112.8,4.6473,689.06,0.15739,0.010889,1051.8,0.61487,602.93,1
0.14229,0.036298,975.93,4.7434,689.06,0.14006,0.015426,914.95,0.71092,602.93,1
0.12834,0.040835,960.81,4.7413,732.13,0.12612,0.019964,899.83,0.70878,646,1
0.097579,0.043557,596.76,4.8613,387.6,0.095351,0.022686,535.78,0.82884,301.46,1
0.087752,0.041742,780.08,4.9004,732.13,0.085524,0.020871,719.1,0.8679,646,1
0.10492,0.032668,984.94,4.8125,732.13,0.1027,0.011797,923.96,0.78,646,1
0.11139,0.033575,930.93,4.7151,689.06,0.10916,0.012704,869.95,0.68259,602.93,1
0.10817,0.033575,535.55,4.765,430.66,0.10594,0.012704,474.57,0.73257,344.53,1
0.11913,0.030853,1117.4,4.5012,710.6,0.1169,0.0099819,1056.4,0.46869,624.46,1
0.11867,0.03176,952.87,4.4973,710.6,0.11644,0.010889,891.89,0.4648,624.46,1
0.11602,0.029946,690.69,4.5604,452.2,0.11379,0.0090744,629.71,0.52787,366.06,1
0.1162,0.028131,898.71,4.3975,538.33,0.11397,0.0072595,837.73,0.36505,452.2,1
0.11374,0.024501,704.56,4.252,495.26,0.11152,0.0036298,643.58,0.21951,409.13,1
0.11198,0.021779,587.19,4.1154,495.26,0.10975,0.00090744,526.21,0.082886,409.13,1
0.079116,0.028131,257.66,3.9825,495.26,0.076888,0.0072595,196.68,0,409.13,1
0.032012,0.043557,62.069,5.1885,473.73,0.029784,0.022686,1.0878,1.2061,387.6,1
0.02062,0.036298,45.756,5.0197,409.13,0.018392,0.015426,0,1.0372,323,1
0.019472,0.018149,56.417,5.0667,430.66,0.017244,0,10.661,1.0843,344.53,1
0.011514,0.044465,81.494,5.5236,430.66,0.0092862,0.026316,35.738,1.5411,344.53,1
0.01036,0.053539,101.1,5.7299,452.2,0.0081317,0.03539,55.341,1.7474,366.06,1
0.013161,0.03176,82.486,5.4281,452.2,0.010933,0.013612,36.73,1.4456,366.06,1
0.013776,0.025408,64.052,5.161,473.73,0.011548,0.0072595,18.296,1.1785,387.6,0
0.012272,0.023593,59.678,5.1461,473.73,0.010044,0.0054446,13.922,1.1637,387.6,0
0.0074759,0.038113,67.915,5.4618,473.73,0.005248,0.019964,22.159,1.4794,387.6,0
0.0043124,0.088929,95.105,6.1596,473.73,0.0020845,0.07078,49.349,2.1771,387.6,0
0.0029858,0.11887,89.927,6.1937,2239.5,0.00075788,0.10073,44.171,2.2112,2153.3,0
0.0023971,0.11434,76.692,6.1607,473.73,0.00016916,0.096189,30.936,2.1783,387.6,0
0.0025065,0.11434,72.676,6.0324,473.73,0.00027855,0.096189,26.92,2.0499,387.6,0
0.002229,0.12704,69.087,6.1236,2002.6,1.0106e-06,0.10889,23.331,2.1411,1916.5,0
0.0018429,0.14882,64.349,6.2717,2304.1,0,0.13067,18.593,2.2892,2217.9,0
0.0018017,0.15064,70.347,6.267,2304.1,0,0.13249,24.591,2.2845,2217.9,0
0.0016858,0.14701,64.989,6.2513,2325.6,0,0.12886,19.233,2.2688,2239.5,0
0.0016838,0.13975,63.447,6.3005,215.33,0,0.1216,17.691,2.318,129.2,0
0.0015937,0.13884,64.883,6.3054,2174.9,0,0.12069,19.127,2.3229,2088.7,0
0.0016213,0.14701,66.078,6.2506,1981.1,2.7633e-05,0.12886,20.322,2.2682,1894.9,0
0.0016503,0.15245,63.832,6.2242,559.86,5.6604e-05,0.1343,18.076,2.2417,473.73,0
0.001645,0.12976,59.853,6.215,150.73,5.1336e-05,0.11162,14.097,2.2325,64.6,0
0.0016683,0.12341,62.535,6.2013,193.8,7.4598e-05,0.10526,16.779,2.2188,107.67,0
0.0014711,0.15336,65.693,6.359,559.86,0,0.13521,19.937,2.3765,473.73,0
0.0013076,0.15971,59.427,6.4181,538.33,0,0.14156,13.671,2.4357,452.2,0
0.0013672,0.16515,67.484,6.4611,473.73,5.9596e-05,0.14701,21.728,2.4786,387.6,0
0.0013951,0.17695,66.847,6.4797,301.46,8.7509e-05,0.1588,21.091,2.4972,215.33,0
0.0012238,0.18603,60.578,6.4905,279.93,0,0.16788,14.822,2.508,193.8,0
0.0010825,0.18421,56.061,6.4429,150.73,0,0.16606,10.305,2.4605,64.6,0
0.0011544,0.17604,51.951,6.4003,366.06,7.1899e-05,0.15789,6.1951,2.4178,279.93,0
0.0013259,0.15426,58.073,6.3627,323,0.00024339,0.13612,12.317,2.3802,236.87,0
0.0012375,0.16969,61.164,6.4602,495.26,0.00015508,0.15154,15.408,2.4777,409.13,0
0.0010457,0.20871,59.998,6.536,430.66,0,0.19056,14.242,2.5535,344.53,0
0.0009479,0.22232,48.939,6.4799,409.13,0,0.20417,3.1828,2.4974,323,0
0.0010953,0.20236,50.599,6.3203,301.46,0.00014745,0.18421,4.8425,2.3378,215.33,0
0.0011989,0.16606,52.077,6.324,301.46,0.00025095,0.14791,6.3213,2.3415,215.33,0
0.0010645,0.18421,50.05,6.3726,301.46,0.00011661,0.16606,4.2944,2.3902,215.33,0
0.00094367,0.22323,46.23,6.3911,21.533,0,0.20508,0.47417,2.4086,0,0
0.00091538,0.20599,48.415,6.3833,387.6,0,0.18784,2.6585,2.4008,366.06,0
0.0011283,0.15154,52.826,6.4087,215.33,0.00021293,0.13339,7.0695,2.4263,193.8,0
0.0012635,0.14247,57.945,6.4079,150.73,0.00034809,0.12432,12.189,2.4254,129.2,0
0.0011172,0.16697,52.721,6.4585,21.533,0.00020177,0.14882,6.9651,2.476,0,0
0.0010912,0.16243,52.686,6.3598,21.533,0.00017586,0.14428,6.93,2.3774,0,0
0.0011061,0.1588,50.732,6.387,236.87,0.00019072,0.14065,4.9761,2.4046,215.33,0
0.0010227,0.16788,53.659,6.3899,215.33,0.00010736,0.14973,7.903,2.4074,193.8,0
0.0011297,0.16515,54.795,6.4275,258.4,0.00021436,0.14701,9.0388,2.445,236.87,0
0.0012973,0.16969,58.065,6.3835,215.33,0.00038191,0.15154,12.309,2.4011,193.8,0
0.001434,0.18784,67.6,6.4192,21.533,0.00051866,0.16969,21.844,2.4367,0,0
0.0017267,0.20871,95.883,6.6027,2368.7,0.0008113,0.19056,50.127,2.6202,2347.1,0
0.0017151,0.21234,78.187,6.5508,2368.7,0.0007997,0.19419,32.431,2.5683,2347.1,0
0.0015268,0.21688,78.107,6.5277,775.2,0.00061142,0.19873,32.351,2.5452,753.66,0
0.001749,0.20871,101.39,6.6886,430.66,0.00083367,0.19056,55.638,2.7061,409.13,0
0.0019546,0.18784,88.389,6.5029,1485.8,0.0010392,0.16969,42.633,2.5204,1464.3,0
0.0019513,0.19782,86.395,6.5092,1485.8,0.0010359,0.17967,40.639,2.5268,1464.3,0
0.0021388,0.19056,89.638,6.425,2411.7,0.0012234,0.17241,43.882,2.4425,2390.2,0
0.0024038,0.19056,108.56,6.537,1507.3,0.0014884,0.17241,62.802,2.5545,1485.8,0
0.0024412,0.16969,98.366,6.3885,2304.1,0.0015258,0.15154,52.61,2.406,2282.5,0
0.0021747,0.14338,81.524,6.3383,2045.7,0.0012594,0.12523,35.768,2.3558,2024.1,0
0.0032928,0.11162,73.988,6.0799,258.4,0.0023775,0.093466,28.232,2.0975,236.87,0
0.0037279,0.056261,70.77,5.6809,150.73,0.0028125,0.038113,25.014,1.6984,129.2,0
0.0028897,0.057169,59.594,5.8228,452.2,0.0019744,0.03902,13.838,1.8403,430.66,0
0.0028867,0.058076,73.048,6.1473,215.33,0.0019713,0.039927,27.292,2.1649,193.8,0
0.0025111,0.062613,53.156,5.8921,236.87,0.0015957,0.044465,7.4002,1.9097,215.33,0
0.0015704,0.10436,50.618,6.2318,193.8,0.00065501,0.086207,4.8618,2.2494,172.27,0
0.0013018,0.18149,62.722,6.4369,150.73,0.0003864,0.16334,16.966,2.4544,129.2,0
0.0013259,0.17514,61.062,6.6096,236.87,0.00041048,0.15699,15.306,2.6271,215.33,0
0.0012661,0.12613,50.967,6.192,258.4,0.00035077,0.10799,5.2107,2.2096,236.87,0
0.001242,0.11978,48.825,6.252,215.33,0.00032659,0.10163,3.0685,2.2696,193.8,0
0.0014804,0.11434,48.909,6.255,409.13,0.00056504,0.096189,3.1528,2.2726,387.6,0
