@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
64.883,6.3054,2174.9,0.2712,91,19.127,2.3229,2088.7,0.060279,83,0
66.078,6.2506,1981.1,0.30481,81,20.322,2.2682,1894.9,0.093884,73,0
63.832,6.2242,559.86,0.2864,93,18.076,2.2417,473.73,0.075476,85,0
59.853,6.215,150.73,0.31415,115,14.097,2.2325,64.6,0.10323,107,0
62.535,6.2013,193.8,0.41163,108,16.779,2.2188,107.67,0.20071,100,0
65.693,6.359,559.86,0.30688,106,19.937,2.3765,473.73,0.095953,98,0
59.427,6.4181,538.33,0.32342,105,13.671,2.4357,452.2,0.1125,97,0
67.484,6.4611,473.73,0.23511,97,21.728,2.4786,387.6,0.024185,89,0
66.847,6.4797,301.46,0.34792,107,21.091,2.4972,215.33,0.137,99,0
60.578,6.4905,279.93,0.37647,127,14.822,2.508,193.8,0.16555,119,0
56.061,6.4429,150.73,0.33085,142,10.305,2.4605,64.6,0.11993,134,0
51.951,6.4003,366.06,0.24919,146,6.1951,2.4178,279.93,0.038263,138,0
58.073,6.3627,323,0.26019,133,12.317,2.3802,236.87,0.04927,125,0
61.164,6.4602,495.26,0.15336,156,15.408,2.4777,409.13,0,148,0
59.998,6.536,430.66,0.19871,153,14.242,2.5535,344.53,0.045353,145,0
48.939,6.4799,409.13,0.16995,155,3.1828,2.4974,323,0.016589,147,0
50.599,6.3203,301.46,0.23599,172,4.8425,2.3378,215.33,0.082628,164,0
52.077,6.324,301.46,0.41982,149,6.3213,2.3415,215.33,0.26646,141,0
50.05,6.3726,301.46,0.34198,167,4.2944,2.3902,215.33,0.18862,159,0
46.23,6.3911,21.533,0.31658,152,0.47417,2.4086,0,0.16322,144,0
48.415,6.3833,387.6,0.23422,186,2.6585,2.4008,366.06,0.080861,178,0
52.826,6.4087,215.33,0.3829,148,7.0695,2.4263,193.8,0.22955,140,0
57.945,6.4079,150.73,0.28926,169,12.189,2.4254,129.2,0.1359,161,0
52.721,6.4585,21.533,0.13805,204,6.9651,2.476,0,0,196,0
52.686,6.3598,21.533,0.22902,166,6.93,2.3774,0,0.090972,158,0
50.732,6.387,236.87,0.29075,130,4.9761,2.4046,215.33,0.15271,122,0
53.659,6.3899,215.33,0.26468,148,7.903,2.4074,193.8,0.12663,140,0
54.795,6.4275,258.4,0.27352,133,9.0388,2.445,236.87,0.13547,125,0
58.065,6.3835,215.33,0.29407,113,12.309,2.4011,193.8,0.15602,105,0
67.6,6.4192,21.533,0.25872,101,21.844,2.4367,0,0.12067,93,0
95.883,6.6027,2368.7,0.24082,102,50.127,2.6202,2347.1,0.10278,94,0
78.187,6.5508,2368.7,0.26096,102,32.431,2.5683,2347.1,0.12292,94,0
78.107,6.5277,775.2,0.27908,122,32.351,2.5452,753.66,0.14103,114,0
101.39,6.6886,430.66,0.20794,136,55.638,2.7061,409.13,0.069898,128,0
88.389,6.5029,1485.8,0.26105,119,42.633,2.5204,1464.3,0.123,111,0
86.395,6.5092,1485.8,0.25549,106,40.639,2.5268,1464.3,0.11745,98,0
89.638,6.425,2411.7,0.28423,87,43.882,2.4425,2390.2,0.14618,79,0
108.56,6.537,1507.3,0.27755,88,62.802,2.5545,1485.8,0.1395,80,0
98.366,6.3885,2304.1,0.31524,88,52.61,2.406,2282.5,0.17719,80,0
81.524,6.3383,2045.7,0.32964,60,35.768,2.3558,2024.1,0.19159,52,0
73.988,6.0799,258.4,0.21243,58,28.232,2.0975,236.87,0.074385,50,0
70.77,5.6809,150.73,0.2812,44,25.014,1.6984,129.2,0.14316,36,0
59.594,5.8228,452.2,0.46952,27,13.838,1.8403,430.66,0.33148,19,0
73.048,6.1473,215.33,0.5155,61,27.292,2.1649,193.8,0.37746,53,0
53.156,5.8921,236.87,0.66212,41,7.4002,1.9097,215.33,0.52408,33,0
50.618,6.2318,193.8,0.40882,127,4.8618,2.2494,172.27,0.27077,119,0
62.722,6.4369,150.73,0.29143,209,16.966,2.4544,129.2,0.15339,201,0
61.062,6.6096,236.87,0.29384,206,15.306,2.6271,215.33,0.15579,198,0
50.967,6.192,258.4,0.43809,166,5.2107,2.2096,236.87,0.30005,158,0
48.825,6.252,215.33,0.65711,138,3.0685,2.2696,193.8,0.51907,130,0
48.909,6.255,409.13,0.29975,162,3.1528,2.2726,387.6,0.1617,154,0
50.792,6.0564,516.8,0.41896,119,5.0363,2.0739,495.26,0.28092,111,0
47.516,6.0376,516.8,0.65761,35,1.7596,2.0552,495.26,0.51956,27,0
52.596,6.1797,516.8,0.54321,62,6.8396,2.1973,495.26,0.40517,54,0
54.019,6.111,236.87,0.59376,145,8.2634,2.1285,215.33,0.45571,137,0
58.251,6.3251,279.93,0.47422,117,12.495,2.3426,258.4,0.33617,109,0
50.563,6.2123,279.93,0.75159,112,4.8073,2.2298,258.4,0.61355,104,0
49.226,6.3545,279.93,0.54129,117,3.4697,2.3721,258.4,0.40325,109,0
50.836,6.2908,279.93,0.44764,133,5.0803,2.3084,258.4,0.3096,125,0
60.67,6.4311,236.87,0.40157,180,14.914,2.4486,215.33,0.26352,172,0
56.971,6.3181,279.93,0.3038,204,11.215,2.3357,258.4,0.16576,196,0
51.21,6.1419,301.46,0.50108,73,5.4535,2.1595,279.93,0.36304,65,0
51.136,6.1051,258.4,0.84391,45,5.3803,2.1226,236.87,0.70586,37,0
