@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
558.43,5.0918,452.2,515.89,1.1093,430.66,1
381.84,4.9933,473.73,339.3,1.0108,452.2,1
425.22,4.9452,473.73,382.68,0.96271,452.2,1
367.3,4.9616,495.26,324.76,0.97912,473.73,1
358.7,4.8222,495.26,316.16,0.8397,473.73,1
340.35,4.8338,495.26,297.81,0.85128,473.73,1
368.78,4.8725,495.26,326.24,0.89001,473.73,1
382.55,4.8566,495.26,340.01,0.87414,473.73,1
356.6,4.7966,516.8,314.07,0.81409,495.26,1
364.62,4.7376,516.8,322.08,0.75518,495.26,1
404.61,4.7492,516.8,362.07,0.76676,495.26,1
453.27,4.6238,516.8,410.73,0.64129,495.26,1
401.81,4.7163,538.33,359.27,0.73385,516.8,1
394,4.843,538.33,351.46,0.86055,516.8,1
356.69,4.8224,538.33,314.15,0.83998,516.8,1
526.74,5.0681,559.86,484.2,1.0856,538.33,1
929.67,4.9832,646,887.13,1.0007,624.46,1
2088.3,5.0051,495.26,2045.7,1.0226,473.73,1
3790.7,4.7398,538.33,3748.2,0.7573,516.8,1
3776.8,4.536,538.33,3734.2,0.55349,516.8,1
3092.2,4.7801,516.8,3049.7,0.79764,495.26,1
4002,4.7425,538.33,3959.5,0.76001,516.8,1
5004.3,4.8404,581.4,4961.8,0.85797,559.86,1
7434.6,4.7685,581.4,7392.1,0.78603,559.86,1
7189,4.4392,581.4,7146.5,0.45669,559.86,1
6482.8,4.4703,581.4,6440.2,0.48785,559.86,1
5636.9,4.0748,559.86,5594.3,0.092293,538.33,1
4825.9,4.1702,559.86,4783.3,0.18769,538.33,1
4381.3,4.2982,538.33,4338.7,0.31573,516.8,1
3524.6,4.421,538.33,3482.1,0.34619,516.8,1
2860.6,4.3847,516.8,2818,0.30993,495.26,1
2565.6,4.2581,516.8,2523.1,0.18333,495.26,1
2037.6,4.3256,495.26,1995.1,0.25083,473.73,1
1610.6,4.3232,495.26,1568.1,0.2484,473.73,1
1825,4.3545,473.73,1782.5,0.2797,452.2,1
1664.8,4.364,473.73,1622.3,0.28922,452.2,1
1522.1,4.3414,473.73,1479.6,0.26669,452.2,1
1704.7,4.1638,473.73,1662.1,0.089085,452.2,1
1862.6,4.0788,473.73,1820.1,0.0040767,452.2,1
1892.1,4.081,473.73,1849.6,0.0062249,452.2,1
1864.5,4.0724,473.73,1822,0,452.2,1
1772.3,4.1408,473.73,1729.8,0.068361,452.2,1
1654.4,4.1658,452.2,1611.9,0.093383,430.66,1
1492.5,4.2211,452.2,1449.9,0.14867,430.66,1
1377.4,4.2672,452.2,1334.8,0.19479,430.66,1
1318.5,4.3111,452.2,1276,0.23871,430.66,1
1406.9,4.208,452.2,1364.3,0.13553,430.66,1
1359.1,4.2509,452.2,1316.5,0.17848,430.66,1
1803.1,4.6976,452.2,1760.6,0.62518,430.66,1
1754.9,4.4828,473.73,1712.4,0.4104,452.2,1
1895.5,4.2689,473.73,1852.9,0.19645,452.2,1
2005,4.2456,473.73,1962.4,0.17321,452.2,1
2021.3,4.2972,473.73,1978.8,0.22477,452.2,1
1980.4,4.3623,473.73,1937.9,0.28983,452.2,1
1897.9,4.5337,473.73,1855.3,0.46126,452.2,1
1906.2,4.42,495.26,1863.7,0.34759,473.73,1
2020.9,4.3756,495.26,1978.4,0.30315,473.73,1
2252.8,4.285,495.26,2210.3,0.21259,473.73,1
2321.2,4.3042,495.26,2278.7,0.23177,473.73,1
