@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.075487,0.037205,469.87,-5.3218,818.26,0.0073539,0,0,0.78291,14,0
0.077823,0.043557,492.5,-5.2772,387.6,0.0050014,0,0,0.68803,14,0
0.077156,0.045372,442.42,-5.1498,818.26,0.0072337,0,0,0.81006,15,0
0.079438,0.046279,476.91,-5.1844,818.26,0.012223,1,28,0.81551,15,0
0.0775,0.048094,560.86,-5.3609,236.87,0.011661,1,19,0.37629,24,0
0.070963,0.04265,600.9,-5.2683,409.13,0.0022487,0,0,0.35825,22,0
0.069913,0.043557,337.42,-5.3126,818.26,0.0095318,0,0,0.37381,22,0
0.067156,0.048094,471.08,-5.2635,409.13,0.0074443,0,0,0.32374,26,0
0.079744,0.038113,446.67,-5.1668,861.33,0.0058104,0,0,0.45425,20,0
0.10068,0.029038,753.88,-4.9507,409.13,0.0030615,0,0,0.66494,10,0
0.10582,0.029038,817.23,-4.8808,473.73,0.00098521,0,0,0.64832,8,0
0.13047,0.024501,1147.7,-4.7563,516.8,0.0026277,0,0,0.46486,9,0
0.17979,0.025408,1986.8,-4.4819,516.8,0.0010851,0,0,0.7457,10,0
0.21538,0.027223,2095.1,-4.3903,516.8,0,0,0,0.79786,10,0
0.18404,0.03176,1849,-4.6652,516.8,0.00055272,0,0,0.59108,11,0
0.11745,0.036298,855.02,-4.9203,193.8,0.0026443,0,0,0.35692,17,0
0.10375,0.03539,713.98,-4.9254,495.26,0.0007549,0,0,0.579,11,0
0.088458,0.03902,702.82,-5.0126,516.8,0.00136,0,0,0.5945,14,0
0.084514,0.036298,720.51,-5.4597,344.53,0.031662,1,12,0.3485,19,0
0.089476,0.033575,561.03,-5.2089,409.13,0.0045139,0,0,0.44225,14,0
0.072776,0.040835,526.28,-5.1975,538.33,0.0013786,0,0,0.41704,15,0
0.063586,0.044465,338.59,-5.3001,473.73,0.0024734,0,0,0.48902,20,0
0.080707,0.040835,607.53,-5.0464,452.2,0.0057985,0,0,0.62176,10,0
0.10189,0.041742,609.24,-5.2546,473.73,0.0069098,0,0,0.5947,9,0
0.10612,0.036298,884.22,-5.3822,452.2,0.029805,1,23,0.94953,8,0
0.093063,0.03176,673.4,-5.2707,473.73,0.008011,0,0,0.7401,8,0
0.075103,0.045372,368.6,-5.4017,473.73,0.010856,1,23,0.41627,14,0
0.076991,0.043557,433.46,-5.3294,473.73,0.0052344,0,0,0.55716,12,0
0.083161,0.036298,615.55,-5.2234,689.06,0.003555,0,0,0.52753,13,0
0.084231,0.045372,713.28,-5.2208,473.73,0.0026839,0,0,0.49039,15,0
0.087637,0.049909,473.6,-5.3319,258.4,0.0039235,0,0,0.37751,18,0
0.094409,0.047187,829.83,-5.2668,452.2,0.017644,1,23,0.52716,22,0
0.10194,0.051724,925.87,-5.2819,452.2,0.0079349,0,0,0.75331,15,0
0.087345,0.059891,705.39,-5.2679,1055.1,0.004132,0,0,0.58308,20,0
0.083341,0.056261,387.8,-5.5011,1033.6,0.015381,1,11,0.76521,21,0
0.098782,0.046279,770.44,-5.4677,430.66,0.013429,3,11,0.55202,16,0
0.099821,0.04265,784.5,-5.3008,430.66,0.010763,1,9,0.84287,12,0
0.083442,0.053539,407.85,-5.4709,409.13,0.016846,1,10,0.44891,18,0
0.069086,0.057169,405.57,-5.4724,710.6,0.026315,1,9,0.466,14,0
0.064929,0.061706,320.74,-5.4982,215.33,0.02352,1,9,0.56622,24,0
0.058517,0.066243,213.02,-5.5552,387.6,0.0059491,0,0,0.62921,25,0
0.051675,0.068058,114.85,-5.7006,538.33,0.013749,1,12,0.44025,29,0
0.051658,0.075318,195.72,-5.5739,387.6,0.019064,1,11,0.4492,37,0
0.066063,0.051724,295.54,-5.55,753.66,0.019929,2,10,0.40573,16,0
0.076006,0.03176,426.1,-5.4369,710.6,0.0238,2,11,0.57263,17,0
0.073159,0.03902,477.16,-5.3296,409.13,0.008882,0,0,0.60646,16,0
0.075218,0.049909,318.81,-5.4919,279.93,0.016693,1,10,0.43208,21,0
0.074371,0.065336,666.86,-5.6224,215.33,0.046034,2,11,0.5085,33,0
0.069592,0.062613,395.52,-5.4569,236.87,0.011997,1,9,0.44892,28,0
0.073046,0.053539,415.08,-5.3913,409.13,0.020226,1,11,0.4957,24,0
0.064203,0.056261,321.23,-5.3925,129.2,0.014302,2,11,0.54215,35,0
0.053755,0.049002,176.06,-5.4643,107.67,0.008916,0,0,0.51429,23,0
