@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
565.52,-5.2544,538.33,0.0062174,0,0,1
495.8,-5.6047,538.33,0.011478,1,10,1
818.56,-5.5023,538.33,0.026112,1,18,1
709.29,-5.4989,559.86,0.028503,1,18,1
975.82,-5.3467,624.46,0.015,1,20,1
1678.2,-5.1996,495.26,0.044232,1,17,1
3395.4,-4.7946,538.33,0.050284,5,5,1
3589.3,-4.6704,538.33,0.053801,5,5,1
2671,-4.9431,516.8,0.073658,4,3,1
3927.7,-4.8174,538.33,0.055045,4,5,1
4678.4,-4.8244,581.4,0.07601,3,13,1
7068.7,-4.7798,581.4,0.052855,2,13,1
6653.5,-4.3392,581.4,0.045415,1,17,1
6344.2,-4.5859,581.4,0.041256,2,13,1
5997.3,-4.5911,559.86,0.023924,2,16,1
4842.1,-4.6322,559.86,0.033079,5,5,1
4260.3,-4.7246,538.33,0.036156,4,10,1
3282.2,-4.9746,538.33,0.047679,4,10,1
2432.4,-4.9337,516.8,0.054478,5,10,1
2522,-4.8524,516.8,0.055605,4,10,1
2120.1,-5.1311,495.26,0.039335,5,5,1
1698.7,-5.231,495.26,0.054609,2,10,1
1959.7,-5.1026,473.73,0.050501,2,10,1
1863.9,-5.2762,473.73,0.041571,3,13,1
1697.2,-5.2897,473.73,0.031793,3,10,1
1680.8,-5.0776,473.73,0.035414,2,10,1
1576.9,-4.9389,473.73,0.027602,1,13,1
1610.1,-4.9784,473.73,0.020769,3,10,1
1788.1,-4.9021,473.73,0.033758,2,13,1
1511,-4.9058,473.73,0.047741,2,13,1
1540.6,-4.8555,452.2,0.049075,2,13,1
1705.8,-5.0393,452.2,0.039074,1,13,1
1346,-5.29,452.2,0.024284,2,13,1
1518,-5.2214,452.2,0.021595,2,13,1
1648.3,-5.1782,452.2,0.024976,3,13,1
1580.4,-4.9842,452.2,0.022368,1,13,1
1804.5,-5.0826,452.2,0.023456,1,21,1
1833.1,-5.1257,473.73,0.046466,2,14,1
1921.5,-4.9226,473.73,0.042925,1,14,1
2342.4,-4.667,473.73,0.040335,1,14,1
2706.1,-4.7084,473.73,0.03139,1,14,1
2268.5,-4.9186,473.73,0.022502,1,14,1
1680.4,-5.1773,495.26,0.031036,2,13,1
2139.9,-5.124,495.26,0.044208,1,14,1
2151,-5.1828,495.26,0.027746,2,13,1
2366.5,-5.1356,495.26,0.034808,2,14,1
2493.2,-5.0591,495.26,0.041639,2,14,1
1970.6,-5.0632,495.26,0.031282,2,14,1
2187.4,-4.8868,495.26,0.04006,2,14,1
2486.8,-5.0988,516.8,0.031898,2,14,1
3070.2,-4.976,516.8,0.036416,3,14,1
3178.9,-4.9232,516.8,0.030718,2,13,1
3876.2,-5.1666,516.8,0.042428,2,14,1
3924.9,-5.2599,516.8,0.037177,2,14,1
3972.6,-5.1494,516.8,0.034965,3,14,1
4270.7,-5.1305,516.8,0.029867,3,14,1
3993.3,-5.1736,516.8,0.027696,3,14,1
4907.1,-5.1474,516.8,0.026148,2,14,1
4509.9,-5.1361,516.8,0.026768,2,14,1
3982.8,-5.071,516.8,0.043642,2,14,1
3776.8,-5.057,516.8,0.039994,3,12,1
3537.2,-4.9813,516.8,0.032491,2,7,1
3216.4,-4.891,495.26,0.025669,2,9,1
2840,-4.8175,495.26,0.035837,1,14,1
2975.9,-4.8121,495.26,0.028992,2,12,1
3089.4,-4.7311,495.26,0.027551,2,11,1
4043.9,-4.3274,495.26,0.012799,2,11,1
4108.9,-4.2405,495.26,0.019223,1,18,1
4853.5,-4.5075,495.26,0.035638,1,13,1
4288.3,-4.3594,495.26,0.032509,1,13,1
4019.4,-4.4489,473.73,0.020984,2,13,1
3182.9,-4.5192,473.73,0.039728,1,13,1
1925.3,-4.5393,452.2,0.045666,2,13,1
2283.2,-5.2095,430.66,0.061419,1,12,1
1600.4,-5.4831,990.53,0.060685,2,12,1
1277.5,-5.4563,1012.1,0.01788,2,11,1
908.79,-5.4931,409.13,0.014278,1,13,1
722.45,-5.4617,452.2,0.020319,2,12,0
753.43,-5.8297,882.86,0.046837,3,8,0
1163.8,-5.6927,430.66,0.036247,2,12,0
633.26,-5.7087,1270.5,0.019716,2,10,0
481.76,-5.7363,581.4,0.025013,1,12,0
343.83,-5.808,301.46,0.025797,2,11,0
350.94,-5.7294,947.46,0.010324,1,11,0
193.61,-5.8178,516.8,0.016244,2,8,0
279.49,-5.676,990.53,0.02033,2,12,0
243.27,-5.6434,473.73,0.01285,1,24,0
201.29,-5.6205,1012.1,0.016894,2,11,0
262.14,-5.541,1012.1,0.0054903,0,0,0
126.75,-5.6643,323,0.013367,1,13,0
251,-5.6036,1055.1,0.0082204,0,0,0
100.45,-5.6361,990.53,0.0057981,0,0,0
34.807,-5.7287,409.13,0.013509,1,25,0
160.16,-5.6215,366.06,0.0079168,0,0,0
94.406,-5.6108,1141.3,0.0048985,0,0,0
-7.964,-5.761,1076.7,0.015069,1,11,0
-41.653,-5.8186,409.13,0.012125,2,12,0
-37.258,-5.8215,258.4,0.0090712,0,0,0
-37.199,-5.8793,495.26,0.012395,1,19,0
-4.3889,-5.8878,1292,0.012166,1,11,0
57.068,-5.7262,107.67,0.010542,1,29,0
